method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
B1_PowerOf2,0.5,11,648,1.57e+03,0.058102,0,0,1000000,1204432
B1_PowerOf2,0.5,23,920,1.51e+03,0.064319,0,0,1000000,1200655
B1_PowerOf2,0.5,37,896,1.27e+03,0.078606,0,0,1000000,1200690
B1_PowerOf2,0.5,47,198,526,0.017306,0,0,1000000,1200672
B1_PowerOf2,0.5,59,604,1.01e+03,0.054914,0,0,1000000,1200642
B2_Reactive,0.5,11,346,744,0.027097,0.00398792,0.0415622,1000000,1200627
B2_Reactive,0.5,23,242,478,0.025216,0.00430945,0.0440665,1000000,1200618
B2_Reactive,0.5,37,800,1.27e+03,0.05158,0.00654095,0.0311983,1000000,1200590
B2_Reactive,0.5,47,288,502,0.043395,0.00664854,0.0338919,1000000,1202670
B2_Reactive,0.5,59,1.42e+03,2.05e+03,0.124758,0.000880367,0,1000000,1200636
M0_Proactive,0.5,11,120,216,0.016593,0.0358558,0.000557491,1000000,1200642
M0_Proactive,0.5,23,106,176,0.005838,0.0183108,0.000272715,1000000,1201529
M0_Proactive,0.5,37,394,852,0.047176,0.0409765,0.000711411,1000000,1200638
M0_Proactive,0.5,47,118,212,0.015526,0.0369379,0.00054115,1000000,1200664
M0_Proactive,0.5,59,106,120,0.001331,0.00617338,0,1000000,1200638
B1_PowerOf2,0.7,11,4.35e+03,5.27e+03,0.265127,0,0,1000000,1201007
B1_PowerOf2,0.7,23,956,1.53e+03,0.13273,0,0,1000000,1212788
B1_PowerOf2,0.7,37,864,1.37e+03,0.105652,0,0,1000000,1200960
B1_PowerOf2,0.7,47,690,1.03e+03,0.0874,0,0,1000000,1212981
B1_PowerOf2,0.7,59,2.23e+03,3.89e+03,0.191027,0,0,1000000,1202691
B2_Reactive,0.7,11,2.49e+03,3.5e+03,0.141883,0.000291429,0,1000000,1200978
B2_Reactive,0.7,23,416,728,0.077241,0.0243143,0.100878,1000000,1208426
B2_Reactive,0.7,37,776,1.23e+03,0.092139,0.0236925,0.115243,1000000,1200929
B2_Reactive,0.7,47,1.16e+03,1.86e+03,0.064902,0.0245008,0.116228,1000000,1200983
B2_Reactive,0.7,59,270,762,0.049205,0.0255222,0.0966753,1000000,1200874
M0_Proactive,0.7,11,5.96e+03,7e+03,0.226389,0.0450033,0.053806,1000000,1200935
M0_Proactive,0.7,23,2.11e+03,2.91e+03,0.138026,0.0451137,0.0346303,1000000,1212316
M0_Proactive,0.7,37,2.56e+03,3.4e+03,0.08987,0.0450365,0.0238337,1000000,1200870
M0_Proactive,0.7,47,174,400,0.029505,0.0450106,0.00971251,1000000,1200918
M0_Proactive,0.7,59,2.02e+03,2.71e+03,0.231837,0.0450077,0.0504366,1000000,1200862
B1_PowerOf2,0.85,11,1.15e+03,1.85e+03,0.413941,0,0,1000000,1201674
B1_PowerOf2,0.85,23,356,552,0.223257,0,0,1000000,1201485
B1_PowerOf2,0.85,37,1.64e+03,2.38e+03,0.45929,0,0,1000000,1215985
B1_PowerOf2,0.85,47,2.58e+03,3.31e+03,0.360593,0,0,1000000,1227576
B1_PowerOf2,0.85,59,1.16e+03,1.87e+03,0.311863,0,0,1000000,1209788
B2_Reactive,0.85,11,1.61e+03,2.26e+03,0.693134,0.00274643,0.114329,1000000,1207020
B2_Reactive,0.85,23,1.52e+03,2.27e+03,0.385147,0.0141743,0.223697,1000000,1201609
B2_Reactive,0.85,37,202,214,0.150535,0.0217876,0.235209,1000000,1201647
B2_Reactive,0.85,47,1.68e+03,2.46e+03,0.468508,0.0123568,0.221303,1000000,1203468
B2_Reactive,0.85,59,4.43e+03,5.4e+03,0.924284,4.715e-05,0,1000000,1208908
M0_Proactive,0.85,11,964,1.46e+03,0.371896,0.045403,0.168044,1000000,1206992
M0_Proactive,0.85,23,764,1.23e+03,0.413021,0.0451051,0.167285,1000000,1201660
M0_Proactive,0.85,37,622,1.11e+03,0.254676,0.0451271,0.165535,1000000,1201452
M0_Proactive,0.85,47,1.82e+03,2.52e+03,0.356775,0.0451402,0.160979,1000000,1219134
M0_Proactive,0.85,59,2.71e+03,3.44e+03,0.999997,0.0491824,0.148907,1000000,1219481
B1_PowerOf2,0.92,11,1.95e+03,2.52e+03,0.99991,0,0,1000000,1258792
