method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
B0_IdealCFCFS,0.1,11,106,106,0,0,0,1000000,1200147
B0_IdealCFCFS,0.1,23,106,106,0,0,0,1000000,1200139
B0_IdealCFCFS,0.1,37,106,106,0,0,0,1000000,1200128
B0_IdealCFCFS,0.1,47,106,106,0,0,0,1000000,1200138
B0_IdealCFCFS,0.1,59,106,106,0,0,0,1000000,1200117
B1_PowerOf2,0.1,11,106,106,0,0,0,1000000,1200128
B1_PowerOf2,0.1,23,106,106,0,0,0,1000000,1200109
B1_PowerOf2,0.1,37,106,106,0,0,0,1000000,1200132
B1_PowerOf2,0.1,47,106,106,0,0,0,1000000,1200117
B1_PowerOf2,0.1,59,106,106,0,0,0,1000000,1200122
B2_Reactive,0.1,11,106,106,0,0,0,1000000,1200134
B2_Reactive,0.1,23,106,106,0,0,0,1000000,1200121
B2_Reactive,0.1,37,106,106,0,0,0,1000000,1200111
B2_Reactive,0.1,47,106,106,0,0,0,1000000,1200133
B2_Reactive,0.1,59,106,106,0,0,0,1000000,1200117
M0_Proactive,0.1,11,106,106,0,0,0,1000000,1200123
M0_Proactive,0.1,23,106,106,0,0,0,1000000,1200099
M0_Proactive,0.1,37,106,106,0,0,0,1000000,1200126
M0_Proactive,0.1,47,106,106,0,0,0,1000000,1200127
M0_Proactive,0.1,59,106,106,0,0,0,1000000,1200111
B0_IdealCFCFS,0.15,11,106,106,0,0,0,1000000,1200191
B0_IdealCFCFS,0.15,23,106,106,0,0,0,1000000,1200193
B0_IdealCFCFS,0.15,37,106,106,0,0,0,1000000,1200194
B0_IdealCFCFS,0.15,47,106,106,0,0,0,1000000,1200189
B0_IdealCFCFS,0.15,59,106,106,0,0,0,1000000,1200180
B1_PowerOf2,0.15,11,106,106,0,0,0,1000000,1200192
B1_PowerOf2,0.15,23,106,106,0,0,0,1000000,1200147
B1_PowerOf2,0.15,37,106,106,0,0,0,1000000,1200199
B1_PowerOf2,0.15,47,106,106,0,0,0,1000000,1200187
B1_PowerOf2,0.15,59,106,106,0,0,0,1000000,1200201
B2_Reactive,0.15,11,106,106,0,0,0,1000000,1200179
B2_Reactive,0.15,23,106,106,0,0,0,1000000,1200189
B2_Reactive,0.15,37,106,106,0,0,0,1000000,1200191
B2_Reactive,0.15,47,106,106,0,0,0,1000000,1200176
B2_Reactive,0.15,59,106,106,0,0,0,1000000,1200177
M0_Proactive,0.15,11,106,106,0,0,0,1000000,1200206
M0_Proactive,0.15,23,106,106,0,0,0,1000000,1200160
M0_Proactive,0.15,37,106,106,0,0,0,1000000,1200204
M0_Proactive,0.15,47,106,106,0,0,0,1000000,1200185
M0_Proactive,0.15,59,106,106,0,0,0,1000000,1200200
B0_IdealCFCFS,0.2,11,106,106,0,0,0,1000000,1200265
B0_IdealCFCFS,0.2,23,106,106,0,0,0,1000000,1200256
B0_IdealCFCFS,0.2,37,106,106,0,0,0,1000000,1200246
B0_IdealCFCFS,0.2,47,106,106,0,0,0,1000000,1200277
B0_IdealCFCFS,0.2,59,106,106,2e-06,0,0,1000000,1200240
B1_PowerOf2,0.2,11,106,106,0,0,0,1000000,1200250
B1_PowerOf2,0.2,23,106,106,0,0,0,1000000,1200221
B1_PowerOf2,0.2,37,106,106,0,0,0,1000000,1200271
B1_PowerOf2,0.2,47,106,106,0,0,0,1000000,1200239
B1_PowerOf2,0.2,59,106,106,0,0,0,1000000,1200248
B2_Reactive,0.2,11,106,106,0,0,0,1000000,1200236
B2_Reactive,0.2,23,106,106,0,0,0,1000000,1200245
B2_Reactive,0.2,37,106,106,0,0,0,1000000,1200246
B2_Reactive,0.2,47,106,106,0,0,0,1000000,1200235
B2_Reactive,0.2,59,106,106,0,0,0,1000000,1200252
M0_Proactive,0.2,11,106,106,0,0,0,1000000,1200249
M0_Proactive,0.2,23,106,106,0,0,0,1000000,1200222
M0_Proactive,0.2,37,106,106,0,0,0,1000000,1200280
M0_Proactive,0.2,47,106,106,0,0,0,1000000,1200235
