workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
W3,B1_PowerOf2,0.5,11,154,324,0.005516,0,0,1000000,1200602
W3,B1_PowerOf2,0.5,23,154,324,0.005379,0,0,1000000,1200620
W3,B1_PowerOf2,0.5,37,156,328,0.005587,0,0,1000000,1200648
W3,B1_PowerOf2,0.5,47,156,322,0.005475,0,0,1000000,1200686
W3,B1_PowerOf2,0.5,59,154,332,0.005608,0,0,1000000,1200629
W3,B2_Reactive,0.5,11,154,326,0.00473,0.00243293,0.130777,1000000,1200611
W3,B2_Reactive,0.5,23,154,324,0.00458,0.00251536,0.12351,1000000,1200623
W3,B2_Reactive,0.5,37,154,324,0.004831,0.0024246,0.137066,1000000,1200611
W3,B2_Reactive,0.5,47,154,322,0.004672,0.00230808,0.129917,1000000,1200567
W3,B2_Reactive,0.5,59,154,324,0.004771,0.00226465,0.135712,1000000,1200626
W3,M0_Proactive,0.5,11,154,324,0.004742,0.00094619,0,1000000,1200604
W3,M0_Proactive,0.5,23,154,322,0.004627,0.000927869,0,1000000,1200601
W3,M0_Proactive,0.5,37,154,328,0.004805,0.000975311,0,1000000,1200643
W3,M0_Proactive,0.5,47,154,322,0.004681,0.000977008,0,1000000,1200604
W3,M0_Proactive,0.5,59,154,328,0.004807,0.000942009,0,1000000,1200626
W3,B1_PowerOf2,0.7,11,170,348,0.025947,0,0,1000000,1200967
W3,B1_PowerOf2,0.7,23,170,354,0.025867,0,0,1000000,1200916
W3,B1_PowerOf2,0.7,37,172,356,0.025964,0,0,1000000,1200952
W3,B1_PowerOf2,0.7,47,170,348,0.025579,0,0,1000000,1201061
W3,B1_PowerOf2,0.7,59,170,356,0.02581,0,0,1000000,1200966
W3,B2_Reactive,0.7,11,162,334,0.020666,0.0252501,0.153179,1000000,1200948
W3,B2_Reactive,0.7,23,160,330,0.020647,0.0269522,0.13922,1000000,1200866
W3,B2_Reactive,0.7,37,162,328,0.020259,0.0262263,0.150014,1000000,1200972
W3,B2_Reactive,0.7,47,160,324,0.020118,0.0267954,0.148575,1000000,1200917
W3,B2_Reactive,0.7,59,160,330,0.020169,0.0269293,0.142822,1000000,1200961
W3,M0_Proactive,0.7,11,158,330,0.005533,0.0291672,0.000171296,1000000,1200902
W3,M0_Proactive,0.7,23,158,328,0.005506,0.0299692,0.000250056,1000000,1200965
W3,M0_Proactive,0.7,37,158,328,0.005644,0.0296615,0.000280733,1000000,1200915
W3,M0_Proactive,0.7,47,158,328,0.005493,0.0301385,0.000331547,1000000,1200922
W3,M0_Proactive,0.7,59,156,328,0.005495,0.0295196,0.000394911,1000000,1200930
W3,B1_PowerOf2,0.85,11,202,400,0.096546,0,0,1000000,1201474
W3,B1_PowerOf2,0.85,23,200,402,0.09638,0,0,1000000,1201426
W3,B1_PowerOf2,0.85,37,202,400,0.097266,0,0,1000000,1201471
W3,B1_PowerOf2,0.85,47,202,392,0.095359,0,0,1000000,1201561
W3,B1_PowerOf2,0.85,59,202,400,0.095725,0,0,1000000,1201461
W3,B2_Reactive,0.85,11,200,390,0.097031,0.0222424,0.297758,1000000,1201446
