param_name,param_value,method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
baseline,0,B2_Reactive,0.85,11,1.61e+03,2.26e+03,0.693134,0.00274643,0.114329,1000000,1207020
baseline,0,B2_Reactive,0.85,23,1.52e+03,2.27e+03,0.385147,0.0141743,0.223697,1000000,1201609
baseline,0,B2_Reactive,0.85,37,202,214,0.150535,0.0217876,0.235209,1000000,1201647
baseline,0,B2_Reactive,0.85,47,1.68e+03,2.46e+03,0.468508,0.0123568,0.221303,1000000,1203468
baseline,0,B2_Reactive,0.85,59,4.43e+03,5.4e+03,0.924284,4.715e-05,0,1000000,1208908
alpha,0.5,M0_Proactive,0.85,11,1.57e+03,2.31e+03,0.572623,0.0467657,0.180215,1000000,1210267
alpha,0.5,M0_Proactive,0.85,23,2.92e+03,3.77e+03,0.750882,0.0475443,0.161582,1000000,1220209
alpha,0.5,M0_Proactive,0.85,37,1.47e+03,2.23e+03,0.373004,0.0452206,0.163654,1000000,1208564
alpha,0.5,M0_Proactive,0.85,47,1.85e+03,2.66e+03,0.313794,0.0461612,0.160785,1000000,1225814
alpha,0.5,M0_Proactive,0.85,59,1.13e+03,1.76e+03,0.518676,0.0450662,0.184388,1000000,1201611
alpha,0.6,M0_Proactive,0.85,11,2.01e+03,2.79e+03,0.655836,0.0450038,0.151518,1000000,1208408
alpha,0.6,M0_Proactive,0.85,23,2.45e+03,3.23e+03,0.72947,0.048953,0.168127,1000000,1219149
alpha,0.6,M0_Proactive,0.85,37,310,768,0.192314,0.0451096,0.163917,1000000,1201474
alpha,0.6,M0_Proactive,0.85,47,682,1.28e+03,0.322505,0.045111,0.182945,1000000,1201524
alpha,0.6,M0_Proactive,0.85,59,1.25e+03,1.9e+03,0.452532,0.045093,0.177355,1000000,1201627
alpha,0.7,M0_Proactive,0.85,11,360,660,0.238749,0.0451141,0.176751,1000000,1201664
alpha,0.7,M0_Proactive,0.85,23,2.23e+03,3.03e+03,0.54897,0.0450858,0.160991,1000000,1201774
alpha,0.7,M0_Proactive,0.85,37,4.41e+03,5.44e+03,0.532649,0.0563833,0.152381,1000000,1229672
alpha,0.7,M0_Proactive,0.85,47,2.31e+03,3.17e+03,0.566684,0.0453396,0.170552,1000000,1209141
alpha,0.7,M0_Proactive,0.85,59,1.57e+03,2.22e+03,0.58438,0.0481301,0.188331,1000000,1217179
alpha,0.8,M0_Proactive,0.85,11,964,1.46e+03,0.371896,0.045403,0.168044,1000000,1206992
alpha,0.8,M0_Proactive,0.85,23,764,1.23e+03,0.413021,0.0451051,0.167285,1000000,1201660
alpha,0.8,M0_Proactive,0.85,37,622,1.11e+03,0.254676,0.0451271,0.165535,1000000,1201452
alpha,0.8,M0_Proactive,0.85,47,1.82e+03,2.52e+03,0.356775,0.0451402,0.160979,1000000,1219134
alpha,0.8,M0_Proactive,0.85,59,2.71e+03,3.44e+03,0.999997,0.0491824,0.148907,1000000,1219481
alpha,0.9,M0_Proactive,0.85,11,974,1.5e+03,0.380271,0.0449979,0.181722,1000000,1215102
alpha,0.9,M0_Proactive,0.85,23,952,1.65e+03,0.301757,0.0450776,0.166497,1000000,1201817
alpha,0.9,M0_Proactive,0.85,37,330,836,0.202365,0.0450806,0.160719,1000000,1201603
alpha,0.9,M0_Proactive,0.85,47,952,1.63e+03,0.371725,0.0450711,0.171495,1000000,1201635
alpha,0.9,M0_Proactive,0.85,59,2.7e+03,3.59e+03,0.896719,0.0482451,0.185688,1000000,1221740
alpha,1,M0_Proactive,0.85,11,972,1.59e+03,0.359137,0.0455315,0.18804,1000000,1212722
alpha,1,M0_Proactive,0.85,23,2.11e+03,2.9e+03,0.744789,0.0480492,0.159016,1000000,1212862
alpha,1,M0_Proactive,0.85,37,874,1.54e+03,0.311955,0.0450754,0.163731,1000000,1202674
alpha,1,M0_Proactive,0.85,47,3.82e+03,4.83e+03,0.592366,0.0473786,0.162726,1000000,1213143
alpha,1,M0_Proactive,0.85,59,1.02e+03,1.79e+03,0.288662,0.0451046,0.174197,1000000,1201718
T_margin,0,M0_Proactive,0.85,11,1.15e+03,1.67e+03,0.485252,0.0451001,0.172738,1000000,1201593
T_margin,0,M0_Proactive,0.85,23,3.01e+03,3.84e+03,0.983545,0.0453023,0.165209,1000000,1203846
T_margin,0,M0_Proactive,0.85,37,1.84e+03,2.63e+03,0.411796,0.0450592,0.17089,1000000,1201530
T_margin,0,M0_Proactive,0.85,47,1.23e+03,1.72e+03,0.343253,0.0461182,0.170605,1000000,1211366
T_margin,0,M0_Proactive,0.85,59,636,974,0.363445,0.0454387,0.177774,1000000,1206021
T_margin,0.5,M0_Proactive,0.85,11,1.75e+03,2.5e+03,0.720433,0.0464012,0.164536,1000000,1210528
T_margin,0.5,M0_Proactive,0.85,23,4.4e+03,5.54e+03,0.521801,0.0460387,0.135828,1000000,1255487
T_margin,0.5,M0_Proactive,0.85,37,1.1e+03,1.82e+03,0.37001,0.0451113,0.167002,1000000,1213620
T_margin,0.5,M0_Proactive,0.85,47,1.84e+03,2.48e+03,0.519653,0.0450384,0.168699,1000000,1205460
T_margin,0.5,M0_Proactive,0.85,59,2.55e+03,3.48e+03,0.742256,0.0462903,0.17515,1000000,1213040
T_margin,1,M0_Proactive,0.85,11,1.39e+03,1.94e+03,0.484992,0.0450832,0.165765,1000000,1201889
T_margin,1,M0_Proactive,0.85,23,2.16e+03,2.93e+03,0.671613,0.0464536,0.160001,1000000,1212629
T_margin,1,M0_Proactive,0.85,37,546,1.19e+03,0.225778,0.0451211,0.166193,1000000,1201389
T_margin,1,M0_Proactive,0.85,47,766,1.43e+03,0.255923,0.0450765,0.170273,1000000,1201646
T_margin,1,M0_Proactive,0.85,59,958,1.51e+03,0.395239,0.0450473,0.177791,1000000,1201649
T_margin,1.5,M0_Proactive,0.85,11,964,1.46e+03,0.371896,0.045403,0.168044,1000000,1206992
T_margin,1.5,M0_Proactive,0.85,23,764,1.23e+03,0.413021,0.0451051,0.167285,1000000,1201660
T_margin,1.5,M0_Proactive,0.85,37,622,1.11e+03,0.254676,0.0451271,0.165535,1000000,1201452
T_margin,1.5,M0_Proactive,0.85,47,1.82e+03,2.52e+03,0.356775,0.0451402,0.160979,1000000,1219134
T_margin,1.5,M0_Proactive,0.85,59,2.71e+03,3.44e+03,0.999997,0.0491824,0.148907,1000000,1219481
T_margin,2,M0_Proactive,0.85,11,418,750,0.248837,0.0450948,0.17097,1000000,1201579
T_margin,2,M0_Proactive,0.85,23,512,1.03e+03,0.26007,0.0450455,0.168796,1000000,1202339
T_margin,2,M0_Proactive,0.85,37,1.26e+03,1.93e+03,0.357435,0.0451516,0.162366,1000000,1215239
T_margin,2,M0_Proactive,0.85,47,758,1.41e+03,0.25424,0.0452377,0.163337,1000000,1207335
T_margin,2,M0_Proactive,0.85,59,1.3e+03,2.1e+03,0.309216,0.0451003,0.163757,1000000,1206556
T_margin,3,M0_Proactive,0.85,11,1.06e+03,1.4e+03,0.507637,0.0454843,0.184022,1000000,1221850
T_margin,3,M0_Proactive,0.85,23,1.83e+03,2.46e+03,0.664591,0.0456218,0.173947,1000000,1208829
T_margin,3,M0_Proactive,0.85,37,1.77e+03,2.42e+03,0.525179,0.0451561,0.158767,1000000,1227454
T_margin,3,M0_Proactive,0.85,47,2.07e+03,2.77e+03,0.487322,0.0528869,0.16596,1000000,1230021
T_margin,3,M0_Proactive,0.85,59,1.68e+03,2.46e+03,0.552224,0.0451044,0.179338,1000000,1207820
T_margin,5,M0_Proactive,0.85,11,1.18e+03,1.7e+03,0.505433,0.0449926,0.166177,1000000,1201732
T_margin,5,M0_Proactive,0.85,23,5.29e+03,6.37e+03,0.869311,0.0497991,0.149343,1000000,1230986
T_margin,5,M0_Proactive,0.85,37,2.15e+03,3.05e+03,0.536664,0.0454822,0.160957,1000000,1205900
T_margin,5,M0_Proactive,0.85,47,758,1.35e+03,0.303326,0.0450952,0.167752,1000000,1201746
T_margin,5,M0_Proactive,0.85,59,3.3e+03,4.32e+03,0.725174,0.0450839,0.158317,1000000,1201671
K_DST,1,M0_Proactive,0.85,11,2.36e+03,2.95e+03,0.97688,0.0451592,0.23239,1000000,1204338
K_DST,1,M0_Proactive,0.85,23,2.28e+03,2.96e+03,0.647017,0.04543,0.182884,1000000,1218159
K_DST,1,M0_Proactive,0.85,37,1.55e+03,2.19e+03,0.496976,0.0455391,0.158649,1000000,1209180
K_DST,1,M0_Proactive,0.85,47,546,954,0.273202,0.045097,0.150546,1000000,1202208
K_DST,1,M0_Proactive,0.85,59,536,1.02e+03,0.239185,0.0451182,0.142515,1000000,1201555
K_DST,2,M0_Proactive,0.85,11,936,1.55e+03,0.338925,0.0450452,0.156922,1000000,1224147
K_DST,2,M0_Proactive,0.85,23,1.48e+03,2.04e+03,0.591477,0.0451255,0.158078,1000000,1201538
K_DST,2,M0_Proactive,0.85,37,1.11e+03,1.81e+03,0.338102,0.0459127,0.149557,1000000,1212541
K_DST,2,M0_Proactive,0.85,47,2.59e+03,3.53e+03,0.524448,0.0451025,0.147496,1000000,1201662
K_DST,2,M0_Proactive,0.85,59,3.43e+03,4.35e+03,0.832129,0.0468418,0.146813,1000000,1211141
K_DST,4,M0_Proactive,0.85,11,964,1.46e+03,0.371896,0.045403,0.168044,1000000,1206992
K_DST,4,M0_Proactive,0.85,23,764,1.23e+03,0.413021,0.0451051,0.167285,1000000,1201660
K_DST,4,M0_Proactive,0.85,37,622,1.11e+03,0.254676,0.0451271,0.165535,1000000,1201452
K_DST,4,M0_Proactive,0.85,47,1.82e+03,2.52e+03,0.356775,0.0451402,0.160979,1000000,1219134
K_DST,4,M0_Proactive,0.85,59,2.71e+03,3.44e+03,0.999997,0.0491824,0.148907,1000000,1219481
K_DST,8,M0_Proactive,0.85,11,1.72e+03,2.24e+03,0.724475,0.045091,0.173726,1000000,1203168
K_DST,8,M0_Proactive,0.85,23,1.8e+03,2.57e+03,0.441059,0.0489378,0.193262,1000000,1225759
K_DST,8,M0_Proactive,0.85,37,2.94e+03,3.9e+03,0.508962,0.0452221,0.182196,1000000,1203018
K_DST,8,M0_Proactive,0.85,47,2.07e+03,2.89e+03,0.47756,0.0453941,0.184457,1000000,1212073
K_DST,8,M0_Proactive,0.85,59,1.22e+03,1.78e+03,0.504653,0.0451051,0.207411,1000000,1206272
K_DST,16,M0_Proactive,0.85,11,2.02e+03,2.8e+03,0.572255,0.0450405,0.229666,1000000,1215263
