cluster,workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated,batch_candidate_count,batch_selected_count,batch_move_count,summary_update_count,reservation_reject_count,saturation_guard_count
HETERO_25PCT,W2,B1_PowerOf2,0.5,11,844,2.74e+03,0.093659,0,0,1000000,1200628,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.5,23,756,2.28e+03,0.07258,0,0,1000000,1200617,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.5,37,806,3.53e+03,0.069903,0,0,1000000,1200688,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.5,47,1.48e+03,5.05e+03,0.109894,0,0,1000000,1200946,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.5,59,526,1.88e+03,0.064773,0,0,1000000,1200651,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.5,11,1.26e+03,3.79e+03,0.105088,0.0157159,0.00768456,1000000,1200635,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.5,23,574,1.92e+03,0.073306,0.00981623,0.0111149,1000000,1200665,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.5,37,668,1.86e+03,0.10373,0.0147856,0.00667003,1000000,1206651,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.5,47,834,2.51e+03,0.091042,0.0119744,0.00903531,1000000,1201560,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.5,59,1.05e+03,3.14e+03,0.120469,0.00101014,0,1000000,1200820,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.5,11,520,2.61e+03,0.044637,0.029794,0.00027954,1000000,1200679,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.5,23,506,506,0.020927,0.0309647,2.68976e-05,1000000,1200656,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.5,37,506,506,0.021615,0.0270488,0.000123164,1000000,1200680,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.5,47,506,506,0.022631,0.026786,0.000186561,1000000,1200666,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.5,59,506,534,0.031738,0.0325592,0.00020464,1000000,1200675,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.5,11,506,530,0.033455,0.0387385,0.0141045,1000000,1200613,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.5,23,506,506,0.019384,0.0155725,0.0132107,1000000,1200645,0,0,0,0,0,0
