"scenario","method","P99_median_us","P999_median_us","slo_violation_median","migration_rate_median","invalid_ratio_median","batch_candidate_median","batch_selected_median","batch_move_median","avg_move_batch_size_median","batch_size_1_median","batch_size_2_7_median","batch_size_8_31_median","batch_size_32_plus_median","batch_type_generic_median","batch_type_short_median","batch_type_mice_median","batch_type_slow_median","batch_type_distribution_median","target_plan_reject_median","saturation_guard_median"
"W1_saturation_homo","B2_Reactive","1380","1600","0.996324","0.000411213","0.402612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W1_saturation_homo","M0_Proactive","1500","2700","0.991473","0.0394141","0.379253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W1_saturation_homo","M1_AQB_PM","1370","1580","0.996731","0.0175483","0.249164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W1_saturation_homo","M2_DQB_PM","1380","1590","0.996014","0","0","25488653","0","0","0","0","0","0","0","0","0","0","0","0","100354081","1631169"
"W2_burst_homo","B2_Reactive","1610","2270","0.468508","0.0123568","0.221303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W2_burst_homo","M0_Proactive","1420","2010","0.386676","0.0400124","0.145056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W2_burst_homo","M1_AQB_PM","1100","1730","0.385527","0.0453816","0.100943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W2_burst_homo","M2_DQB_PM","358","572","0.311241","0.0115643","0.0290325","840591","1201","14446","8.59333333333333","0","0","1201","0","778","423","0","0","0","3299774","0"
"W3_heavytail_homo","B2_Reactive","200","394","0.096214","0.0221686","0.297758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W3_heavytail_homo","M0_Proactive","186","360","0.088628","0.0402885","0.0508681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W3_heavytail_homo","M1_AQB_PM","176","338","0.084086","0.0451337","0.035445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"W3_heavytail_homo","M2_DQB_PM","202","398","0.096336","6.6586E-06","0","1","1","8","8","0","0","1","0","0","0","1","0","0","2","0"
