scenario,workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio
intra_w1_bimodal_sanity,W1,L0_RandomCore,0.85,11,2.48e+03,4.19e+03,0.855704,1000000,1200265,0,0,0,0,0,0,0,0,0,0,0
intra_w1_bimodal_sanity,W1,L0_RandomCore,0.85,23,2.5e+03,3.49e+03,0.860023,1000000,1200360,0,0,0,0,0,0,0,0,0,0,0
intra_w1_bimodal_sanity,W1,L0_RandomCore,0.85,37,2.64e+03,3.37e+03,0.85613,1000000,1200474,0,0,0,0,0,0,0,0,0,0,0
intra_w1_bimodal_sanity,W1,L0_RandomCore,0.85,47,2.27e+03,2.96e+03,0.857604,1000000,1200349,0,0,0,0,0,0,0,0,0,0,0
intra_w1_bimodal_sanity,W1,L0_RandomCore,0.85,59,2.4e+03,3.48e+03,0.858271,1000000,1200355,0,0,0,0,0,0,0,0,0,0,0
intra_w1_bimodal_sanity,W1,L1_WorkStealing,0.85,11,236,384,0.322605,1000000,1200042,0,0,0.33721,404666,1.37931e+07,481725,404666,404666,0,0,0
intra_w1_bimodal_sanity,W1,L1_WorkStealing,0.85,23,248,366,0.335574,1000000,1200019,0,0,0.328506,394214,1.34915e+07,468397,394214,394214,0,0,0
intra_w1_bimodal_sanity,W1,L1_WorkStealing,0.85,37,248,406,0.332489,1000000,1200063,0,0,0.331218,397482,1.35617e+07,473063,397482,397482,0,0,0
intra_w1_bimodal_sanity,W1,L1_WorkStealing,0.85,47,236,346,0.333525,1000000,1200086,0,0,0.329604,395553,1.35763e+07,470517,395553,395553,0,0,0
intra_w1_bimodal_sanity,W1,L1_WorkStealing,0.85,59,240,356,0.332487,1000000,1200010,0,0,0.331244,397496,1.3624e+07,472089,397496,397496,0,0,0
intra_w1_bimodal_sanity,W1,M0_IntraHostProactive,0.85,11,204,290,0.244034,1000000,1200036,0,0,0.534546,641475,1.40782e+07,0,0,0,1768596,641475,0
intra_w1_bimodal_sanity,W1,M0_IntraHostProactive,0.85,23,208,286,0.265006,1000000,1200019,0,0,0.540282,648349,1.43736e+07,0,0,0,1763300,648349,0
intra_w1_bimodal_sanity,W1,M0_IntraHostProactive,0.85,37,212,312,0.259334,1000000,1200054,0,0,0.537796,645384,1.42856e+07,0,0,0,1765281,645384,0
intra_w1_bimodal_sanity,W1,M0_IntraHostProactive,0.85,47,202,270,0.258119,1000000,1200074,0,0,0.538491,646229,1.42949e+07,0,0,0,1765936,646229,0
intra_w1_bimodal_sanity,W1,M0_IntraHostProactive,0.85,59,204,268,0.254473,1000000,1200015,0,0,0.538924,646717,1.4278e+07,0,0,0,1764582,646717,0
