scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_w3_ablation,W3,M1_RescueSched,0.85,11,1,2,1,16,4,1,1,268,588,0.095702,1000000,1200021,0,0,0.285511,342619,6.02689e+06,0,0,0,0,0,0,1765228,34063902,11615901,1763985,1356493,342619,6.02689e+06,407492,44699619,0,0,342613,0,0,126004,0,0,0,0.999982,0,0.999982
rescue_w3_ablation,W3,M1_RescueSched,0.85,23,1,2,1,16,4,1,1,254,526,0.092833,1000000,1200033,0,0,0.285817,342990,6.02334e+06,0,0,0,0,0,0,1764164,33525051,11096740,1754168,1361733,342990,6.02334e+06,392435,42632792,0,0,342986,0,0,124472,0,0,0,0.999988,0,0.999988
rescue_w3_ablation,W3,M1_RescueSched,0.85,37,1,2,1,16,4,1,1,258,558,0.094486,1000000,1200055,0,0,0.28778,345352,6.07562e+06,0,0,0,0,0,0,1764532,33637310,11185881,1714280,1365758,345352,6.07562e+06,348522,43029244,0,0,345339,0,0,129555,0,0,0,0.999962,0,0.999962
rescue_w3_ablation,W3,M1_RescueSched,0.85,47,1,2,1,16,4,1,1,260,580,0.09697,1000000,1200116,0,0,0.285507,342642,6.04941e+06,0,0,0,0,0,0,1764216,34110974,11605073,1721697,1354450,342642,6.04941e+06,367247,44698595,0,0,342634,0,0,128045,0,0,0,0.999977,0,0.999977
rescue_w3_ablation,W3,M1_RescueSched,0.85,59,1,2,1,16,4,1,1,252,524,0.092748,1000000,1200025,0,0,0.285102,342130,6.0098e+06,0,0,0,0,0,0,1766838,33220548,10933634,1715488,1359414,342130,6.0098e+06,356074,42019048,0,0,342124,0,0,123145,0,0,0,0.999982,0,0.999982
rescue_w3_ablation,W3,M1_RescueSched_NoTargetSafety,0.85,11,1,2,1,16,4,0,1,260,602,0.095874,1000000,1200020,0,0,0.286216,343465,6.07906e+06,0,0,0,0,0,0,1765222,34237455,11582752,1355874,1334830,343465,6.07906e+06,0,44975134,0,0,343460,0,8643,124839,0,0,0,0.999985,0,0.999985
rescue_w3_ablation,W3,M1_RescueSched_NoTargetSafety,0.85,23,1,2,1,16,4,0,1,248,512,0.093216,1000000,1200030,0,0,0.286237,343493,6.06834e+06,0,0,0,0,0,0,1764153,33679355,11072451,1361766,1341408,343493,6.06834e+06,0,42928038,0,0,343489,0,8436,121714,0,0,0,0.999988,0,0.999988
rescue_w3_ablation,W3,M1_RescueSched_NoTargetSafety,0.85,37,1,2,1,16,4,0,1,248,532,0.095297,1000000,1200054,0,0,0.287774,345344,6.12081e+06,0,0,0,0,0,0,1764529,33803473,11186325,1364210,1343910,345344,6.12081e+06,0,43381090,0,0,345331,0,8483,125663,0,0,0,0.999962,0,0.999962
rescue_w3_ablation,W3,M1_RescueSched_NoTargetSafety,0.85,47,1,2,1,16,4,0,1,254,590,0.097827,1000000,1200116,0,0,0.285853,343057,6.08945e+06,0,0,0,0,0,0,1764219,34323142,11650128,1355999,1334244,343057,6.08945e+06,0,45244513,0,0,343044,0,8898,125142,0,0,0,0.999962,0,0.999962
rescue_w3_ablation,W3,M1_RescueSched_NoTargetSafety,0.85,59,1,2,1,16,4,0,1,244,514,0.093824,1000000,1200028,0,0,0.284927,341920,6.03991e+06,0,0,0,0,0,0,1766844,33397528,10938342,1358299,1337264,341920,6.03991e+06,0,42395069,0,0,341913,0,8661,120207,0,0,0,0.99998,0,0.99998
