scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_check_period_sweep,W3,M1_RescueSched,0.85,11,1,2,1,16,4,1,1,268,588,0.095702,1000000,1200021,0,0,0.285511,342619,6.02689e+06,0,0,0,0,0,0,1765228,34063902,11615901,1763985,1356493,342619,6.02689e+06,407492,44699619,0,0,342613,0,0.999982,0,0.999982
rescue_check_period_sweep,W3,M1_RescueSched,0.85,23,1,2,1,16,4,1,1,254,526,0.092833,1000000,1200033,0,0,0.285817,342990,6.02334e+06,0,0,0,0,0,0,1764164,33525051,11096740,1754168,1361733,342990,6.02334e+06,392435,42632792,0,0,342986,0,0.999988,0,0.999988
rescue_check_period_sweep,W3,M1_RescueSched,0.85,37,1,2,1,16,4,1,1,258,558,0.094486,1000000,1200055,0,0,0.28778,345352,6.07562e+06,0,0,0,0,0,0,1764532,33637310,11185881,1714280,1365758,345352,6.07562e+06,348522,43029244,0,0,345339,0,0.999962,0,0.999962
rescue_check_period_sweep,W3,M1_RescueSched,0.85,47,1,2,1,16,4,1,1,260,580,0.09697,1000000,1200116,0,0,0.285507,342642,6.04941e+06,0,0,0,0,0,0,1764216,34110974,11605073,1721697,1354450,342642,6.04941e+06,367247,44698595,0,0,342634,0,0.999977,0,0.999977
rescue_check_period_sweep,W3,M1_RescueSched,0.85,59,1,2,1,16,4,1,1,252,524,0.092748,1000000,1200025,0,0,0.285102,342130,6.0098e+06,0,0,0,0,0,0,1766838,33220548,10933634,1715488,1359414,342130,6.0098e+06,356074,42019048,0,0,342124,0,0.999982,0,0.999982
rescue_check_period_sweep,W3,M1_RescueSched,0.85,11,2,2,1,16,4,1,1,268,584,0.102144,1000000,1200019,0,0,0.280315,336383,5.92855e+06,0,0,0,0,0,0,882612,17253894,6268205,1793238,1570864,336383,5.92855e+06,222374,23279582,0,0,336379,0,0.999988,0,0.999988
rescue_check_period_sweep,W3,M1_RescueSched,0.85,23,2,2,1,16,4,1,1,258,576,0.099127,1000000,1200031,0,0,0.280979,337184,5.92142e+06,0,0,0,0,0,0,882078,17020757,6045800,1781840,1582070,337184,5.92142e+06,199770,22401360,0,0,337181,0,0.999991,0,0.999991
rescue_check_period_sweep,W3,M1_RescueSched,0.85,37,2,2,1,16,4,1,1,260,576,0.101389,1000000,1200049,0,0,0.28214,338582,5.97136e+06,0,0,0,0,0,0,882263,17105077,6093175,1762202,1580028,338582,5.97136e+06,182174,22610498,0,0,338569,0,0.999962,0,0.999962
rescue_check_period_sweep,W3,M1_RescueSched,0.85,47,2,2,1,16,4,1,1,260,578,0.103924,1000000,1200123,0,0,0.280277,336367,5.94731e+06,0,0,0,0,0,0,882107,17308009,6281494,1766985,1570265,336367,5.94731e+06,196720,23358991,0,0,336359,0,0.999976,0,0.999976
rescue_check_period_sweep,W3,M1_RescueSched,0.85,59,2,2,1,16,4,1,1,254,534,0.099262,1000000,1200026,0,0,0.279731,335685,5.89809e+06,0,0,0,0,0,0,883421,16847802,5910992,1756093,1570262,335685,5.89809e+06,185831,21887875,0,0,335677,0,0.999976,0,0.999976
