scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,11,1,2,1,16,4,1,1,390,724,0.232146,1000000,1200019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,23,1,2,1,16,4,1,1,384,704,0.231886,1000000,1200028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,37,1,2,1,16,4,1,1,400,736,0.234062,1000000,1200022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,47,1,2,1,16,4,1,1,388,692,0.233559,1000000,1200029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,59,1,2,1,16,4,1,1,388,698,0.2305,1000000,1200023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,11,1,2,1,16,4,1,1,152,326,0.012427,1000000,1200005,0,0,0.339074,406890,1.11445e+07,864840,406890,406890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,23,1,2,1,16,4,1,1,152,320,0.01225,1000000,1200013,0,0,0.340026,408036,1.11601e+07,864438,408036,408036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,37,1,2,1,16,4,1,1,154,326,0.012817,1000000,1200015,0,0,0.339738,407691,1.11717e+07,863521,407691,407691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,47,1,2,1,16,4,1,1,154,322,0.012465,1000000,1200007,0,0,0.340078,408096,1.12117e+07,864207,408096,408096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,59,1,2,1,16,4,1,1,152,316,0.012354,1000000,1200010,0,0,0.338715,406461,1.11347e+07,865008,406461,406461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,11,1,2,1,16,4,1,1,158,324,0.004439,1000000,1200005,0,0,0.175668,210803,4.57666e+06,0,0,0,3000916,210803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,23,1,2,1,16,4,1,1,158,318,0.004384,1000000,1200013,0,0,0.174997,209999,4.52359e+06,0,0,0,2999025,209999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,37,1,2,1,16,4,1,1,158,324,0.004651,1000000,1200015,0,0,0.176162,211397,4.61178e+06,0,0,0,2999653,211397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,47,1,2,1,16,4,1,1,158,320,0.004568,1000000,1200014,0,0,0.17635,211622,4.60053e+06,0,0,0,2998956,211622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,59,1,2,1,16,4,1,1,158,316,0.004563,1000000,1200013,0,0,0.174408,209292,4.51817e+06,0,0,0,3003630,209292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,11,1,2,1,16,4,1,1,184,358,0.004514,1000000,1200005,0,0,0.143888,172666,2.82765e+06,0,0,0,0,0,0,3000911,9451717,289625,716614,716614,172666,2.82765e+06,0,441886,0,0,172665,0,0,31,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,23,1,2,1,16,4,1,1,184,356,0.004462,1000000,1200014,0,0,0.143585,172304,2.81389e+06,0,0,0,0,0,0,2999034,9431153,290965,715123,715123,172304,2.81389e+06,0,448737,0,0,172304,0,0,49,0,0,0,1,0,1
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,37,1,2,1,16,4,1,1,184,362,0.004722,1000000,1200019,0,0,0.144945,173937,2.86305e+06,0,0,0,0,0,0,2999660,9401228,297943,722051,722051,173937,2.86305e+06,0,469721,0,0,173936,0,0,50,0,0,0,0.999994,0,0.999994
