scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_w1_sanity,W1,L1_WorkStealing,0.85,11,1,2,1,16,4,1,1,236,384,0.322605,1000000,1200042,0,0,0.33721,404666,1.37931e+07,481725,404666,404666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,L1_WorkStealing,0.85,23,1,2,1,16,4,1,1,248,366,0.335574,1000000,1200019,0,0,0.328506,394214,1.34915e+07,468397,394214,394214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,L1_WorkStealing,0.85,37,1,2,1,16,4,1,1,248,406,0.332489,1000000,1200063,0,0,0.331218,397482,1.35617e+07,473063,397482,397482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,L1_WorkStealing,0.85,47,1,2,1,16,4,1,1,236,346,0.333525,1000000,1200086,0,0,0.329604,395553,1.35763e+07,470517,395553,395553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,L1_WorkStealing,0.85,59,1,2,1,16,4,1,1,240,356,0.332487,1000000,1200010,0,0,0.331244,397496,1.3624e+07,472089,397496,397496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,M0_IntraHostProactive,0.85,11,1,2,1,16,4,1,1,204,292,0.243778,1000000,1200037,0,0,0.534537,641464,1.40908e+07,0,0,0,1768599,641464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,M0_IntraHostProactive,0.85,23,1,2,1,16,4,1,1,208,284,0.265252,1000000,1200018,0,0,0.54024,648298,1.43667e+07,0,0,0,1763300,648298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,M0_IntraHostProactive,0.85,37,1,2,1,16,4,1,1,212,314,0.258906,1000000,1200055,0,0,0.537708,645279,1.4259e+07,0,0,0,1765283,645279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,M0_IntraHostProactive,0.85,47,1,2,1,16,4,1,1,202,270,0.256767,1000000,1200072,0,0,0.538881,646696,1.42584e+07,0,0,0,1765932,646696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,M0_IntraHostProactive,0.85,59,1,2,1,16,4,1,1,204,266,0.255074,1000000,1200015,0,0,0.539161,647001,1.42835e+07,0,0,0,1764583,647001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_sanity,W1,M1_RescueSched,0.85,11,1,2,1,16,4,1,1,302,2.97e+03,0.196677,1000000,1200029,0,0,0.350418,420512,8.32274e+06,0,0,0,0,0,0,1768571,37987998,25999417,3467541,1859213,420512,8.32274e+06,1608328,100530127,0,0,420501,0,0.999974,0,0.999974
rescue_w1_sanity,W1,M1_RescueSched,0.85,23,1,2,1,16,4,1,1,300,556,0.213725,1000000,1200021,0,0,0.343111,411740,8.28572e+06,0,0,0,0,0,0,1763305,39994537,27963478,3608019,1817963,411740,8.28572e+06,1790056,108245893,0,0,411736,0,0.99999,0,0.99999
rescue_w1_sanity,W1,M1_RescueSched,0.85,37,1,2,1,16,4,1,1,312,970,0.209818,1000000,1200067,0,0,0.343964,412780,8.28864e+06,0,0,0,0,0,0,1765258,39926548,27917377,3554781,1817419,412780,8.28864e+06,1737362,108114727,0,0,412772,0,0.999981,0,0.999981
rescue_w1_sanity,W1,M1_RescueSched,0.85,47,1,2,1,16,4,1,1,284,458,0.207337,1000000,1200101,0,0,0.346428,415748,8.38686e+06,0,0,0,0,0,0,1765973,38666359,26570578,3555715,1833829,415748,8.38686e+06,1721886,102726597,0,0,415742,0,0.999986,0,0.999986
rescue_w1_sanity,W1,M1_RescueSched,0.85,59,1,2,1,16,4,1,1,288,584,0.206181,1000000,1200021,0,0,0.347148,416585,8.35499e+06,0,0,0,0,0,0,1764589,38789498,26672931,3551979,1838740,416585,8.35499e+06,1713239,103139745,0,0,416582,0,0.999993,0,0.999993
rescue_w1_sanity,W1,M1_RescueSched_NoTargetSafety,0.85,11,1,2,1,16,4,0,1,276,2.82e+03,0.195501,1000000,1200036,0,0,0.357643,429184,8.85684e+06,0,0,0,0,0,0,1768589,38054503,25406985,1787713,1703590,429184,8.85684e+06,0,99840227,0,0,429177,30033,0.999984,0.069977,0.999984
rescue_w1_sanity,W1,M1_RescueSched_NoTargetSafety,0.85,23,1,2,1,16,4,0,1,282,1.34e+03,0.211588,1000000,1200021,0,0,0.351845,422221,8.92843e+06,0,0,0,0,0,0,1763306,40203229,27442698,1751638,1660423,422221,8.92843e+06,0,108019154,0,0,422214,32346,0.999983,0.0766092,0.999983
rescue_w1_sanity,W1,M1_RescueSched_NoTargetSafety,0.85,37,1,2,1,16,4,0,1,278,660,0.208597,1000000,1200067,0,0,0.351638,421989,8.87976e+06,0,0,0,0,0,0,1765271,39673439,26964460,1743833,1654582,421989,8.87976e+06,0,106114007,0,0,421978,31907,0.999974,0.075611,0.999974
rescue_w1_sanity,W1,M1_RescueSched_NoTargetSafety,0.85,47,1,2,1,16,4,0,1,260,514,0.205511,1000000,1200093,0,0,0.353868,424675,8.95573e+06,0,0,0,0,0,0,1765971,38685830,25886546,1761262,1671483,424675,8.95573e+06,0,101784922,0,0,424663,32157,0.999972,0.0757214,0.999972
rescue_w1_sanity,W1,M1_RescueSched_NoTargetSafety,0.85,59,1,2,1,16,4,0,1,268,1.66e+03,0.205189,1000000,1200015,0,0,0.354465,425363,8.90124e+06,0,0,0,0,0,0,1764585,39045007,26219990,1762513,1672971,425363,8.90124e+06,0,103117447,0,0,425363,31882,1,0.0749525,1
rescue_w1_overload_boundary,W1,L1_WorkStealing,0.95,11,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1239245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,L1_WorkStealing,0.95,23,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1242675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,L1_WorkStealing,0.95,37,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1239265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,L1_WorkStealing,0.95,47,1,2,1,16,4,1,1,1e+04,1e+04,0.999996,1000000,1240497,0,0,8.06129e-07,1,102.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,L1_WorkStealing,0.95,59,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1241950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M0_IntraHostProactive,0.95,11,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1239236,0,0,0,0,0,0,0,0,1632429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M0_IntraHostProactive,0.95,23,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1242646,0,0,1.529e-05,19,704.9,0,0,0,1632881,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M0_IntraHostProactive,0.95,37,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1239252,0,0,0,0,0,0,0,0,1631422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M0_IntraHostProactive,0.95,47,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1240522,0,0,5.64279e-06,7,239.7,0,0,0,1633495,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M0_IntraHostProactive,0.95,59,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1241910,0,0,0,0,0,0,0,0,1632729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M1_RescueSched,0.95,11,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1239594,0,0,0,0,0,0,0,0,0,0,0,1632517,417924352,417924352,0,0,0,0,0,1671697408,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M1_RescueSched,0.95,23,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1243192,0,0,0,0,0,0,0,0,0,0,0,1632904,418023424,418023424,0,0,0,0,0,1672093696,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M1_RescueSched,0.95,37,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1239690,0,0,0,0,0,0,0,0,0,0,0,1631536,417673216,417673216,0,0,0,0,0,1670692864,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M1_RescueSched,0.95,47,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1240700,0,0,0,0,0,0,0,0,0,0,0,1633637,418211072,418211072,0,0,0,0,0,1672844288,0,0,0,0,0,0,0
rescue_w1_overload_boundary,W1,M1_RescueSched,0.95,59,1,2,1,16,4,1,1,1e+04,1e+04,1,1000000,1242178,0,0,0,0,0,0,0,0,0,0,0,1632880,418017280,418017280,0,0,0,0,0,1672069120,0,0,0,0,0,0,0
