scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_w3_heavytail_focus,W3,L0_RandomCore,0.85,11,1,2,1,16,4,1,1,2.04e+03,2.89e+03,0.761112,1000000,1200156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L0_RandomCore,0.85,23,1,2,1,16,4,1,1,2.02e+03,3.14e+03,0.756048,1000000,1200225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L0_RandomCore,0.85,37,1,2,1,16,4,1,1,2.1e+03,3.26e+03,0.767092,1000000,1200274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L0_RandomCore,0.85,47,1,2,1,16,4,1,1,2.05e+03,3.33e+03,0.762078,1000000,1200353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L0_RandomCore,0.85,59,1,2,1,16,4,1,1,2.2e+03,3.43e+03,0.755606,1000000,1200234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L1_WorkStealing,0.85,11,1,2,1,16,4,1,1,226,382,0.20307,1000000,1200009,0,0,0.328258,393913,1.25209e+07,470963,393913,393913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L1_WorkStealing,0.85,23,1,2,1,16,4,1,1,220,364,0.199868,1000000,1200033,0,0,0.3299,395891,1.25427e+07,473475,395891,395891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L1_WorkStealing,0.85,37,1,2,1,16,4,1,1,220,368,0.206502,1000000,1200026,0,0,0.326405,391694,1.24914e+07,466618,391694,391694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L1_WorkStealing,0.85,47,1,2,1,16,4,1,1,222,364,0.205331,1000000,1200111,0,0,0.326112,391371,1.24591e+07,466937,391371,391371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_focus,W3,L1_WorkStealing,0.85,59,1,2,1,16,4,1,1,216,356,0.198093,1000000,1200023,0,0,0.330939,397134,1.25595e+07,475787,397134,397134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
