source,scenario,workload,method,rho,check_period_us,epsilon_us,budget_per_check,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,P99_us,P999_us,slo_violation_rate,intra_move_rate,intra_move_count,rescue_success_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,predicted_target_unsafe_accept_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,needless_migration_count,unsaved_migration_count
main,rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,1,2,1,,,,388,704,0.232146,0,0,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,1,2,1,,,,152,322,0.012427,0.339738,407691,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,1,2,1,,,,158,320,0.004563,0.175668,210803,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,1,2,1,,,,184,356,0.004639,0.143888,172666,172666,0.999994,0,0.999994,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.5,1,2,1,,,,184,356,0.004639,0.143888,172666,172666,0.999994,0,0.999994,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,1,2,1,,,,704,1130,0.452664,0,0,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L1_WorkStealing,0.7,1,2,1,,,,156,322,0.042602,0.416029,499243,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.7,1,2,1,,,,158,322,0.008723,0.271755,326108,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,1,2,1,,,,190,380,0.006625,0.231298,277559,277559,0.999993,0,0.999993,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.7,1,2,1,,,,190,380,0.006667,0.231192,277432,277432,0.999993,0,0.999993,34,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,1,2,1,,,,2050,3260,0.761112,0,0,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L1_WorkStealing,0.85,1,2,1,,,,220,364,0.20307,0.328258,393913,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.85,1,2,1,,,,194,346,0.153639,0.399815,479784,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,1,2,1,,,,258,558,0.094486,0.285511,342642,342642,0.999982,0,0.999982,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.85,1,2,1,,,,248,532,0.095297,0.286216,343465,343465,0.99998,0,0.99998,8643,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L0_RandomCore,0.92,1,2,1,,,,10000,10000,0.986228,0,0,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,L1_WorkStealing,0.92,1,2,1,,,,4670,7200,0.891699,0.032516,39078,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.92,1,2,1,,,,4300,6810,0.935923,0.331843,398739,0,0,0,0,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched,0.92,1,2,1,,,,10000,10000,0.933827,0.017547,21137,21137,1,0,1,0,0,0,0,0,0
main,rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.92,1,2,1,,,,10000,10000,0.923918,0.025304,30498,30498,1,0,1,14968,0,0,0,0,0
ablation,rescue_w3_ablation,W3,M1_RescueSched,0.85,1,2,1,,,,258,558,0.094486,0.285511,342642,342642,0.999982,0,0.999982,0,0,0,0,0,0
ablation,rescue_w3_ablation,W3,M1_RescueSched_NoRescuable,0.85,1,2,1,,,,212,364,0.169362,0.50094,601178,601178,0.310599,0.68939,0.310599,0,0,0,0,339871,74512
ablation,rescue_w3_ablation,W3,M1_RescueSched_NoTargetSafety,0.85,1,2,1,,,,248,532,0.095297,0.286216,343465,343465,0.99998,0,0.99998,8643,0,0,0,0,0
