scenario,workload,rho,method,metric,n,mean,median,p25,p75,ci95_low,ci95_high,ci95_half_width
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,P99_us,10,3402,2975,2390,3260,2491,4313,911.203931
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,P999_us,10,5473,5140,4270,5800,4165,6781,1308
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,slo_violation_rate,10,0.645011,0.636879,0.621678,0.654656,0.622942,0.66708,0.022069
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,intra_move_rate,10,0.193979,0.198009,0.18423,0.203941,0.183586,0.204372,0.010393
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,beneficial_migration_ratio,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,rescue_per_migration,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,predicted_target_unsafe_accept_count,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,L1_WorkStealing,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,P99_us,10,2587,1830,1390,2080,1404,3770,1183
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,P999_us,10,5005,4195,3270,4400,3139,6871,1866
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,slo_violation_rate,10,0.654201,0.647469,0.626122,0.666438,0.627869,0.680534,0.026332
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,intra_move_rate,10,0.567825,0.574537,0.54533,0.575895,0.551283,0.584367,0.016542
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,beneficial_migration_ratio,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,rescue_per_migration,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,predicted_target_unsafe_accept_count,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M0_IntraHostProactive,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched,P99_us,10,10000,10000,10000,10000,10000,10000,0
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched,P999_us,10,10000,10000,10000,10000,10000,10000,0
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched,slo_violation_rate,10,0.711415,0.705288,0.679807,0.75122,0.676093,0.746738,0.035322
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched,intra_move_rate,10,0.119245,0.122338,0.098991,0.129427,0.103195,0.135294,0.016049
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched,beneficial_migration_ratio,10,0.999986,0.999985,0.999979,0.999991,0.999978,0.999994,0.000008
