source,scenario,workload,method,rho,check_period_us,epsilon_us,budget_per_check,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,P99_us,P999_us,slo_violation_rate,intra_move_rate,intra_move_count,rescue_success_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,predicted_target_unsafe_accept_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,needless_migration_count,unsaved_migration_count
w2_burst,rescue_w2_burst_skew,W2,L0_RandomCore,0.7,1,2,1,0.5,oracle,0,3940,6690,0.684168,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,L1_WorkStealing,0.7,1,2,1,0.5,oracle,0,372,806,0.182498,0.401987,482389,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.7,1,2,1,0.5,oracle,0,298,486,0.132095,0.437891,525473,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched,0.7,1,2,1,0.5,oracle,0,2220,5370,0.106947,0.331363,397650,397650,0.999995,0,0.999995,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.7,1,2,1,0.5,oracle,0,274,668,0.114417,0.437301,524764,524764,0.590688,0.409251,0.590688,0,0,0,0,169221,45221
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.7,1,2,1,0.5,oracle,0,2260,5450,0.108387,0.331487,397800,397800,0.999995,0,0.999995,7588,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,L0_RandomCore,0.85,1,2,1,0.5,oracle,0,10000,10000,0.935746,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,L1_WorkStealing,0.85,1,2,1,0.5,oracle,0,2390,4270,0.622935,0.203941,244752,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.85,1,2,1,0.5,oracle,0,1390,3710,0.630752,0.587538,705222,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched,0.85,1,2,1,0.5,oracle,0,10000,10000,0.687816,0.129427,155403,155403,0.999981,0,0.999981,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.85,1,2,1,0.5,oracle,0,2180,4080,0.539359,0.33731,404845,404845,0.461836,0.538149,0.461836,0,0,0,0,78436,141279
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.85,1,2,1,0.5,oracle,0,10000,10000,0.681988,0.139755,167800,167800,0.999976,0,0.999976,29894,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,L0_RandomCore,0.92,1,2,1,0.5,oracle,0,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,L1_WorkStealing,0.92,1,2,1,0.5,oracle,0,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.92,1,2,1,0.5,oracle,0,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched,0.92,1,2,1,0.5,oracle,0,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.92,1,2,1,0.5,oracle,0,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
w2_burst,rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.92,1,2,1,0.5,oracle,0,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
robustness_10seed,rescue_w2_robustness_10seed,W2,L1_WorkStealing,0.85,1,2,1,0.5,oracle,0,2975,5140,0.636879,0.198009,237641,0,0,0,0,0,0,0,0,0,0
robustness_10seed,rescue_w2_robustness_10seed,W2,M0_IntraHostProactive,0.85,1,2,1,0.5,oracle,0,1830,4195,0.647469,0.574537,689595,0,0,0,0,0,0,0,0,0,0
robustness_10seed,rescue_w2_robustness_10seed,W2,M1_RescueSched,0.85,1,2,1,0.5,oracle,0,10000,10000,0.705288,0.122338,146900,146900,0.999985,0,0.999985,0,0,0,0,0,0
robustness_10seed,rescue_w2_robustness_10seed,W2,M1_RescueSched_NoRescuable,0.85,1,2,1,0.5,oracle,0,2850,4975,0.556582,0.329548,395492,395492,0.458484,0.541503,0.458484,0,0,0,0,74744,141058
robustness_10seed,rescue_w2_robustness_10seed,W2,M1_RescueSched_NoTargetSafety,0.85,1,2,1,0.5,oracle,0,10000,10000,0.704428,0.129672,155704,155704,0.999976,0,0.999976,28210,0,0,0,0,0
robustness_10seed,rescue_w3_robustness_10seed,W3,L1_WorkStealing,0.85,1,2,1,0.5,oracle,0,221,366,0.202958,0.328147,393782,0,0,0,0,0,0,0,0,0,0
robustness_10seed,rescue_w3_robustness_10seed,W3,M0_IntraHostProactive,0.85,1,2,1,0.5,oracle,0,195,348,0.152486,0.399951,479949,0,0,0,0,0,0,0,0,0,0
robustness_10seed,rescue_w3_robustness_10seed,W3,M1_RescueSched,0.85,1,2,1,0.5,oracle,0,261,569,0.094485,0.285965,343174,343174,0.999984,0,0.999984,0,0,0,0,0,0
robustness_10seed,rescue_w3_robustness_10seed,W3,M1_RescueSched_NoRescuable,0.85,1,2,1,0.5,oracle,0,212,365,0.169913,0.500861,601060,601060,0.310767,0.68922,0.310767,0,0,0,0,338975,74852
robustness_10seed,rescue_w3_robustness_10seed,W3,M1_RescueSched_NoTargetSafety,0.85,1,2,1,0.5,oracle,0,251,539,0.095409,0.286196,343442,343442,0.999981,0,0.999981,8652,0,0,0,0,0
calibration,rescue_cost_sweep,W3,M1_RescueSched,0.85,1,2,1,0,oracle,0,258,584,0.09344,0.286941,344335,344335,0.999983,0,0.999983,0,0,0,0,0,0
calibration,rescue_cost_sweep,W3,M1_RescueSched,0.85,1,2,1,0.5,oracle,0,258,558,0.094486,0.285511,342642,342642,0.999982,0,0.999982,0,0,0,0,0,0
calibration,rescue_cost_sweep,W3,M1_RescueSched,0.85,1,2,1,1,oracle,0,260,584,0.095148,0.284775,341739,341739,0.999982,0,0.999982,0,0,0,0,0,0
calibration,rescue_cost_sweep,W3,M1_RescueSched,0.85,1,2,1,2,oracle,0,262,566,0.09846,0.282393,338906,338906,0.999979,0,0.999979,0,0,0,0,0,0
calibration,rescue_cost_sweep,W3,M1_RescueSched,0.85,1,2,1,5,oracle,0,268,600,0.105568,0.276205,331451,331451,0.999982,0,0.999982,0,0,0,0,0,0
calibration,rescue_service_estimate_sweep,W3,M1_RescueSched,0.85,1,2,1,0.5,mean,0,292,532,0.155596,0.305554,366675,366675,0.98403,0.019662,0.98403,0,1365,0.003709,2510,0,5872
calibration,rescue_service_estimate_sweep,W3,M1_RescueSched,0.85,1,2,1,0.5,noisy_oracle,0.25,248,550,0.112578,0.289288,347152,347152,0.983716,0.02441,0.983716,0,2822,0.008129,3124,0,5652
