source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,P99_us,P999_us,slo_violation_rate,intra_move_rate,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,rescue_success_count,relief_success_count,relief_beneficial_migration_ratio,relief_useless_migration_ratio,predicted_target_unsafe_accept_count,harmful_actual_count,target_induced_miss_actual
estimator_main,rescue_estimator_class_mean,W3,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,270,518,0.136248,0.291415,0.960421,0.059142,0.960421,349712,0,0,0,0,6959,7483
estimator_main,rescue_estimator_ewma,W3,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,273,577,0.142165,0.290945,0.95528,0.06791,0.95528,349148,0,0,0,0,8097,9024
estimator_main,rescue_estimator_global_mean,W3,0.85,M1_RescueSched,mean,0.5,4,0.5,append_tail,293,539,0.155633,0.305844,0.984062,0.019728,0.984062,367022,0,0,0,0,1368,2518
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,257,558,0.132161,0.292324,0.951785,0.06962,0.951785,350799,0,0,0,0,7620,9779
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,261,569,0.094485,0.285965,0.999984,0,0.999984,343174,0,0,0,0,0,0
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,275,578,0.165368,0.307499,0.989715,0.013521,0.989715,369015,0,0,0,0,1200,1204
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,221,366,0.202958,0.328147,0,0,0,0,0,0,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,195,348,0.152486,0.399951,0,0,0,0,0,0,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,372,806,0.182498,0.401987,0,0,0,0,0,0,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,298,486,0.132095,0.437891,0,0,0,0,0,0,0,0,0,0
