scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescue_cost_calibration,W3,M1_RescueSched,0.85,11,1,2,1,16,4,0,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,266,606,0.09344,1000000,1200022,0,0,0.286941,344335,6.05238e+06,0,0,0,0,0,0,1765228,33903731,11388983,1787406,1367876,344335,6.05238e+06,419530,43768526,0,0,344330,0,0,129230,0,0,0,0.999985,0,0.999985,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,23,1,2,1,16,4,0,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,254,542,0.091466,1000000,1200028,0,0,0.287256,344715,6.04622e+06,0,0,0,0,0,0,1764153,33377897,10951168,1771177,1375262,344715,6.04622e+06,395915,42033495,0,0,344712,0,0,126792,0,0,0,0.999991,0,0.999991,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,37,1,2,1,16,4,0,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,266,754,0.094347,1000000,1200050,0,0,0.288521,346240,6.10267e+06,0,0,0,0,0,0,1764527,33900298,11399865,1720651,1373050,346240,6.10267e+06,347601,43878809,0,0,346228,0,0,132417,0,0,0,0.999965,0,0.999965,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,47,1,2,1,16,4,0,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,258,584,0.096516,1000000,1200111,0,0,0.286517,343852,6.07828e+06,0,0,0,0,0,0,1764210,34096841,11538203,1745449,1364673,343852,6.07828e+06,380776,44407363,0,0,343844,0,0,130604,0,0,0,0.999977,0,0.999977,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,59,1,2,1,16,4,0,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,250,510,0.091674,1000000,1200025,0,0,0.286316,343586,6.0287e+06,0,0,0,0,0,0,1766838,33145677,10807207,1750923,1370412,343586,6.0287e+06,380511,41477905,0,0,343580,0,0,125465,0,0,0,0.999983,0,0.999983,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,11,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,268,588,0.095702,1000000,1200021,0,0,0.285511,342619,6.02689e+06,0,0,0,0,0,0,1765228,34063902,11615901,1763985,1356493,342619,6.02689e+06,407492,44699619,0,0,342613,0,0,126004,0,0,0,0.999982,0,0.999982,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,23,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,254,526,0.092833,1000000,1200033,0,0,0.285817,342990,6.02334e+06,0,0,0,0,0,0,1764164,33525051,11096740,1754168,1361733,342990,6.02334e+06,392435,42632792,0,0,342986,0,0,124472,0,0,0,0.999988,0,0.999988,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,37,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,258,558,0.094486,1000000,1200055,0,0,0.28778,345352,6.07562e+06,0,0,0,0,0,0,1764532,33637310,11185881,1714280,1365758,345352,6.07562e+06,348522,43029244,0,0,345339,0,0,129555,0,0,0,0.999962,0,0.999962,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,47,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,260,580,0.09697,1000000,1200116,0,0,0.285507,342642,6.04941e+06,0,0,0,0,0,0,1764216,34110974,11605073,1721697,1354450,342642,6.04941e+06,367247,44698595,0,0,342634,0,0,128045,0,0,0,0.999977,0,0.999977,0,0,0,0,0,0,0
rescue_cost_calibration,W3,M1_RescueSched,0.85,59,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,252,524,0.092748,1000000,1200025,0,0,0.285102,342130,6.0098e+06,0,0,0,0,0,0,1766838,33220548,10933634,1715488,1359414,342130,6.0098e+06,356074,42019048,0,0,342124,0,0,123145,0,0,0,0.999982,0,0.999982,0,0,0,0,0,0,0
