scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescue_w2_boundary,W2,L1_WorkStealing,0.7,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,394,936,0.180199,1000000,1200047,0,0,0.397254,476723,1.44397e+07,674115,476723,476723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,L1_WorkStealing,0.7,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,406,836,0.188439,1000000,1200061,0,0,0.395088,474130,1.44029e+07,667847,474130,474130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,L1_WorkStealing,0.7,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,304,678,0.170907,1000000,1200012,0,0,0.399644,479577,1.45227e+07,680516,479577,479577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M0_IntraHostProactive,0.7,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,340,516,0.131807,1000000,1200047,0,0,0.436186,523444,1.12296e+07,0,0,0,2053750,523444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M0_IntraHostProactive,0.7,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,330,484,0.142397,1000000,1200034,0,0,0.440088,528121,1.1381e+07,0,0,0,2046449,528121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M0_IntraHostProactive,0.7,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,262,446,0.12125,1000000,1200013,0,0,0.432942,519536,1.10727e+07,0,0,0,2056500,519536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched,0.7,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,3.78e+03,7.38e+03,0.108859,1000000,1200047,0,0,0.326976,392387,6.44896e+06,0,0,0,0,0,0,2053748,38793761,30489206,2078204,1722424,392387,6.44896e+06,355780,119878620,0,0,392379,0,0,96045,0,0,0,0.99998,0,0.99998,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched,0.7,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,4.09e+03,6.97e+03,0.120094,1000000,1200158,0,0,0.323586,388354,6.40826e+06,0,0,0,0,0,0,2045971,43109076,34853684,2077161,1702133,388354,6.40826e+06,375028,137337575,0,0,388353,0,0,95452,0,0,0,0.999997,0,0.999997,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched,0.7,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,2.72e+03,5.93e+03,0.099101,1000000,1200013,0,0,0.330118,396146,6.52714e+06,0,0,0,0,0,0,2056489,33827032,25421773,2138719,1744477,396146,6.52714e+06,394242,99548373,0,0,396145,0,0,97359,0,0,0,0.999997,0,0.999997,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched_NoTargetSafety,0.7,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,0,1,3.68e+03,7.41e+03,0.108627,1000000,1200047,0,0,0.328262,393930,6.5684e+06,0,0,0,0,0,0,2053745,38083916,29570898,1707659,1685068,393930,6.5684e+06,0,116575933,0,0,393919,0,7910,96749,0,0,0,0.999972,0,0.999972,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched_NoTargetSafety,0.7,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,0,1,3.93e+03,6.75e+03,0.118396,1000000,1200079,0,0,0.325733,390905,6.55861e+06,0,0,0,0,0,0,2045990,41993339,33505957,1688975,1666193,390905,6.55861e+06,0,132334853,0,0,390903,0,8033,96414,0,0,0,0.999995,0,0.999995,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched_NoTargetSafety,0.7,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,0,1,2.72e+03,6.15e+03,0.099728,1000000,1200013,0,0,0.331471,397769,6.67441e+06,0,0,0,0,0,0,2056490,33159388,24588354,1728071,1703658,397769,6.67441e+06,0,96625345,0,0,397768,0,8401,96439,0,0,0,0.999997,0,0.999997,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched_NoRescuable,0.7,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,0,300,746,0.118425,1000000,1200047,0,0,0.429157,515009,1.61434e+07,0,0,0,0,0,0,2053752,7796303,5957118,5306646,4512217,515009,1.61434e+07,21744563,0,169050,41293,304641,0,0,129668,0,0,0,0.591526,0.408426,0.591526,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched_NoRescuable,0.7,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,0,308,710,0.125639,1000000,1200045,0,0,0.428464,514176,1.60467e+07,0,0,0,0,0,0,2046494,8558099,6728733,5646187,4680676,514176,1.60467e+07,24692120,0,167346,42883,303920,0,0,131366,0,0,0,0.591082,0.408866,0.591082,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched_NoRescuable,0.7,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,0,254,540,0.109324,1000000,1200011,0,0,0.431228,517478,1.62101e+07,0,0,0,0,0,0,2056500,6800236,4924036,5333801,4367831,517478,1.62101e+07,17814413,0,170538,39035,307900,0,0,128596,0,0,0,0.595001,0.404989,0.595001,0,0,0,0,0,0,0
rescue_w2_boundary,W2,L1_WorkStealing,0.8,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,1.18e+03,2.69e+03,0.398362,1000000,1200011,0,0,0.309285,371145,1.20046e+07,458991,371145,371145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,L1_WorkStealing,0.8,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,1.58e+03,3.33e+03,0.416329,1000000,1200152,0,0,0.301506,361853,1.16467e+07,447437,361853,361853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,L1_WorkStealing,0.8,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,1.25e+03,2.78e+03,0.412395,1000000,1200045,0,0,0.30344,364142,1.18414e+07,447882,364142,364142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M0_IntraHostProactive,0.8,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,792,1.16e+03,0.361522,1000000,1200014,0,0,0.537818,645389,1.48194e+07,0,0,0,1795021,645389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M0_IntraHostProactive,0.8,23,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,966,1.34e+03,0.385244,1000000,1200142,0,0,0.537053,644540,1.48221e+07,0,0,0,1790190,644540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M0_IntraHostProactive,0.8,37,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,804,1.15e+03,0.379788,1000000,1200025,0,0,0.542869,651456,1.49658e+07,0,0,0,1787489,651456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_boundary,W2,M1_RescueSched,0.8,11,1,2,1,16,4,0.5,oracle,0,0.05,2,0.3,append_tail,1.25,5,1,1,8.51e+03,1e+04,0.329502,1000000,1200561,0,0,0.27891,334849,6.46813e+06,0,0,0,0,0,0,1795767,105869132,96906288,2578354,1372630,334849,6.46813e+06,1205724,385046798,0,0,334848,0,0,186856,0,0,0,0.999997,0,0.999997,0,0,0,0,0,0,0
