workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,scheduler_attempts_per_request_median
W1,0.7,L0_RandomCore,5,0.4964,0.18837609147765239,495.0,710.0,0.0,0.0,0.0
W1,0.7,L1_WorkStealingPolling,5,0.012,0.3814921201770049,106.0,120.0,0.669017756097561,0.6472,12.8888
W1,0.7,M0_AltoThreshold,5,0.0048,0.3834588200912118,191.0,199.0,0.2044511219512195,0.3686,2.3688
W1,0.7,M1_RescueSched,5,0.0016,0.3852291562271133,191.0,199.0,0.2052206277338654,0.3694,2.3688
W1,0.85,L0_RandomCore,5,0.6878,0.13653640970925582,1000.0,1150.0,0.0,0.0,0.0
W1,0.85,L1_WorkStealingPolling,5,0.1018,0.42224229763047444,144.0,187.0,0.7047099930118799,0.6352,5.978
W1,0.85,M0_AltoThreshold,5,0.0812,0.4294794869871747,191.0,199.0,0.29503568413782516,0.4782,1.9606
W1,0.85,M1_RescueSched,5,0.0516,0.44096383294308605,195.0,200.0,0.27308331392188834,0.4448,1.957
W2,0.7,L0_RandomCore,5,0.511,0.18267671824451037,1420.0,1620.0,0.0,0.0,0.0
W2,0.7,L1_WorkStealingPolling,5,0.0356,0.373376129483708,124.0,195.0,0.6371106341463415,0.623,13.3396
W2,0.7,M0_AltoThreshold,5,0.03,0.3721673049849377,189.0,199.0,0.21566572020566344,0.3802,2.3912
W2,0.7,M1_RescueSched,5,0.0226,0.37386503903735624,192.0,203.0,0.207355536796869,0.3624,2.4212
W2,0.85,L0_RandomCore,5,0.6464,0.15134524349634906,1140.0,1330.0,0.0,0.0,0.0
W2,0.85,L1_WorkStealingPolling,5,0.0674,0.4211218505940746,163.0,229.0,0.7028690731707318,0.6662,6.9832
W2,0.85,M0_AltoThreshold,5,0.0694,0.4207889453598365,195.0,205.0,0.2781080975609756,0.4712,2.0154
W2,0.85,M1_RescueSched,5,0.0518,0.4298238456586975,197.0,292.0,0.25882521934932834,0.4214,2.0518
W3,0.7,L0_RandomCore,5,0.3908,0.23275202692366528,720.0,814.0,0.0,0.0,0.0
W3,0.7,L1_WorkStealingPolling,5,0.0076,0.38560152443511464,152.0,320.0,0.6646676764894887,0.6534,12.4776
W3,0.7,M0_AltoThreshold,5,0.0228,0.37934186471663617,199.0,386.0,0.14485394692847808,0.2478,2.354
W3,0.7,M1_RescueSched,5,0.0188,0.38003904192358934,197.0,375.0,0.14686388644031734,0.2532,2.3588
W3,0.85,L0_RandomCore,5,0.5952,0.18531234835791655,916.0,1040.0,0.0,0.0,0.0
W3,0.85,L1_WorkStealingPolling,5,0.0404,0.44783919222837093,159.0,320.0,0.6823701086142027,0.665,5.5122
W3,0.85,M0_AltoThreshold,5,0.0454,0.4427972391272079,208.0,387.0,0.20714915346971033,0.3508,1.9544
W3,0.85,M1_RescueSched,5,0.0404,0.44487301925805045,214.0,388.0,0.20389546803757766,0.339,1.9556
W3,0.9,L0_RandomCore,5,0.67,0.15275823978700706,1070.0,1160.0,0.0,0.0,0.0
W3,0.9,L1_WorkStealingPolling,5,0.096,0.44615536472213996,159.0,320.0,0.6153940849265934,0.5812,3.5982
W3,0.9,M0_AltoThreshold,5,0.0856,0.44815181485801664,212.0,387.0,0.2430355025988632,0.3996,1.85
W3,0.9,M1_RescueSched,5,0.0692,0.4558678042138876,220.0,395.0,0.22292144802472538,0.3516,1.8516
