schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,13109.8,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,754,964,0.3908,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,12977.5,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,152,320,0.0106,5000,5500,0,0,0.6642,3321,88081.1,60494,3321,3321,11754,55728,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3186,3321,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,12993.2,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,203,386,0.0268,5000,5500,0,0,0.2478,1239,19062.2,0,0,0,0,0,11770,1239,0.00403551,0,0,0,0,0,0,0,0,0,0,72.6794,1239,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,13017.9,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,197,375,0.021,5000,5500,0,0,0.2532,1266,19326.7,0,0,0,0,0,0,0,0,11794,63576,1351,5402,5402,1266,1266,0.5,0.5,1,75.2065,1266,0.5,0.5,19326.7,0,2,0,7,1259,0,0,0,0,0,0,0.994471,0.00552923,0.994471,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,13185.9,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,720,808,0.4144,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,12766.4,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,167,376,0.0076,5000,5500,0,0,0.6784,3392,91293.7,56201,3392,3392,11590,51450,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3392,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,12820.3,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,214,395,0.0254,5000,5500,0,0,0.261,1305,20776.9,0,0,0,0,0,11644,1305,0.000766284,0,0,0,0,0,0,0,0,0,0,76.8895,1305,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,12820.3,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,212,395,0.0238,5000,5500,0,0,0.2662,1331,21126,0,0,0,0,0,0,0,0,11644,64134,1455,5807,5807,1331,1331,0.5,0.5,1,77.6192,1331,0.5,0.5,21126,0,13,0,11,1320,0,0,7,0,0,0,0.991736,0.00826446,0.991736,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13074,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,768,1.1e+03,0.3914,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13025.1,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,151,370,0.0114,5000,5500,0,0,0.652,3260,86882.7,62388,3260,3260,11859,57651,0,0,0,0,0,0,0,0,0,0,0,0,0,103.892,3260,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13074,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,199,387,0.0228,5000,5500,0,0,0.2546,1273,18987.6,0,0,0,0,0,11908,1273,0.00157109,0,0,0,0,0,0,0,0,0,0,77.9614,1273,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13074,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,197,387,0.018,5000,5500,0,0,0.2634,1317,19728.6,0,0,0,0,0,0,0,0,11908,63128,1435,5721,5721,1317,1317,0.5,0.5,1,95.3749,1317,0.5,0.5,19728.6,0,19,0,8,1309,2,0,21,2,0.0015186,2,0.993926,0.00759301,0.993926,0,0,0,0,0,0,0
