workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,significant_rescue_win,no_more_migrated_work
W1,0.7,L1_WorkStealingPolling,10,0.0124645,0.0122138,0.0127444,0.7820617392395532,0.21001223815217746,0.6673959458273169,0.6853258706990761,1.7757009345794392,1.479553903345725,1,1
W1,0.7,M0_AltoThreshold,10,0.0034698,0.0033978,0.0035332,0.49973355609004366,0.21001223815217746,0.2101979835148175,0.0008836686229530821,1.0,1.0,1,1
W1,0.85,L1_WorkStealingPolling,10,0.064853,0.063877,0.0658522,0.5441413745625464,0.286495315864899,0.6939450891264962,0.5871498763316776,1.3,1.2270531400966183,1,1
W1,0.85,M0_AltoThreshold,10,0.024025499999999998,0.0236408,0.024484099999999995,0.3066174387352182,0.286495315864899,0.30198136961955657,0.051281487245942614,1.0103626943005182,1.2668329177057356,1,1
W2,0.7,L1_WorkStealingPolling,10,0.0224491,0.0217715,0.023150299999999995,0.37064474959425564,0.23107790212469864,0.6402401312092555,0.6390761983503759,1.4174174174174174,6.964285714285714,1,1
W2,0.7,M0_AltoThreshold,10,0.0148543,0.014092799999999999,0.015604,0.2804131924059283,0.23107790212469864,0.24633889797391978,0.06195122237997852,1.2102564102564102,8.597194388777556,1,1
W2,0.85,L1_WorkStealingPolling,10,0.034900900000000006,0.03154430000000002,0.03820830000000001,0.153618457684048,0.2610668588938016,0.6174510812419731,0.5771861661191391,6.555023923444976,4.6843853820598005,1,1
W2,0.85,M0_AltoThreshold,10,0.027666200000000002,0.025678800000000005,0.030050300000000005,0.12577981009049935,0.2610668588938016,0.3769817840528105,0.3074815019252247,8.553590010405827,8.806995627732666,1,1
W3,0.7,L1_WorkStealingPolling,10,-0.011715,-0.0118031,-0.011620499999999999,-1.253343318711886,0.1432914871174251,0.6620684021865668,0.7835699655138557,1.3026315789473684,1.1138845553822152,0,1
W3,0.7,M0_AltoThreshold,10,0.0025673000000000002,0.0024973,0.0026576000000000004,0.1086490077996386,0.1432914871174251,0.14176859349716214,-0.010742108549545826,1.0,1.002808988764045,1,0
W3,0.85,L1_WorkStealingPolling,10,0.0087687,0.0085126,0.0090183,0.15098897806460945,0.19948751436888928,0.6640362839235829,0.6995834125355622,1.3048780487804879,1.1755725190839694,1,1
W3,0.85,M0_AltoThreshold,10,0.0088809,0.008598200000000002,0.0091714,0.15262608851072315,0.19948751436888928,0.2057560686207129,0.030465950743737036,1.0239234449760766,1.043360433604336,1,1
W3,0.9,L1_WorkStealingPolling,10,0.020290700000000002,0.019749399999999997,0.020912900000000005,0.17248232520934756,0.22113752710297585,0.592292472472663,0.6266413345086328,1.2659574468085106,1.2838427947598254,1,1
W3,0.9,M0_AltoThreshold,10,0.019495699999999998,0.019190199999999998,0.0197991,0.16685195597902505,0.22113752710297585,0.24696341866721225,0.1045737530829911,1.0818181818181818,1.1380645161290324,1,1
