workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,scheduler_attempts_per_request_median
W1,0.7,L0_RandomCore,10,0.5244295,0.16990370085463735,582.5,879.0,0.0,0.0,0.0
W1,0.7,L1_WorkStealingPolling,10,0.015911,0.35167624340753323,107.0,134.5,0.6673959458273169,0.649759,12.051238
W1,0.7,M0_AltoThreshold,10,0.0069359999999999995,0.3548093860227973,190.0,199.0,0.2101979835148175,0.381486,2.3333255
W1,0.7,M1_RescueSched,10,0.0034335,0.35606213500250905,190.0,199.0,0.21001223815217746,0.381111,2.3333255
W1,0.85,L0_RandomCore,10,0.7330114999999999,0.1158035586723111,1215.0,1865.0,0.0,0.0,0.0
W1,0.85,L1_WorkStealingPolling,10,0.11886250000000001,0.3822779277699282,150.0,207.0,0.6939450891264962,0.6217475,5.210278499999999
W1,0.85,M0_AltoThreshold,10,0.078086,0.39968138649928725,193.0,200.5,0.30198136961955657,0.502222,1.921596
W1,0.85,M1_RescueSched,10,0.05411,0.41033480063392985,195.0,254.0,0.286495315864899,0.4546305,1.9215765
W2,0.7,L0_RandomCore,10,0.565805,0.15527276065885554,2835.0,5020.0,0.0,0.0,0.0
W2,0.7,L1_WorkStealingPolling,10,0.060773999999999995,0.33561551086773256,166.5,308.0,0.6402401312092555,0.617575,12.000620999999999
W2,0.7,M0_AltoThreshold,10,0.053751999999999994,0.33811740831021236,195.0,249.5,0.24633889797391978,0.413266,2.3315335
W2,0.7,M1_RescueSched,10,0.038685,0.34371635294608727,236.0,2145.0,0.23107790212469864,0.3813065,2.3315335
W2,0.85,L0_RandomCore,10,0.7585109999999999,0.10465286060597839,5340.0,8515.0,0.0,0.0,0.0
W2,0.85,L1_WorkStealingPolling,10,0.2230965,0.336822111074193,627.0,1505.0,0.6174510812419731,0.562425,5.157396
W2,0.85,M0_AltoThreshold,10,0.21484350000000002,0.3405444770070343,480.5,800.5,0.3769817840528105,0.5445450000000001,1.9213814999999999
W2,0.85,M1_RescueSched,10,0.185138,0.35348475580522226,4110.0,7050.0,0.2610668588938016,0.386127,1.9213844999999998
W3,0.7,L0_RandomCore,10,0.37515149999999997,0.22310053115187733,574.0,971.5,0.0,0.0,0.0
W3,0.7,L1_WorkStealingPolling,10,0.009437500000000001,0.35386041987297034,152.0,320.5,0.6620684021865668,0.656029,12.102826
W3,0.7,M0_AltoThreshold,10,0.0237025,0.34873940246051327,198.0,356.5,0.14179884963147954,0.24885000000000002,2.33339
W3,0.7,M1_RescueSched,10,0.021061999999999997,0.3497281310408672,198.0,356.5,0.1431819000746067,0.251905,2.33339
W3,0.85,L0_RandomCore,10,0.595153,0.17556625252065305,1055.0,1610.0,0.0,0.0,0.0
W3,0.85,L1_WorkStealingPolling,10,0.058081,0.4087877591201429,164.0,327.5,0.6640362839235829,0.642366,5.289776
W3,0.85,M0_AltoThreshold,10,0.0577975,0.40876746105441386,209.0,369.5,0.20592723690982861,0.349134,1.921684
W3,0.85,M1_RescueSched,10,0.049018,0.4125518655133935,214.0,384.0,0.19935350036521438,0.3340265,1.9216855000000002
W3,0.9,L0_RandomCore,10,0.699748,0.13784599182536894,1515.0,2250.0,0.0,0.0,0.0
W3,0.9,L1_WorkStealingPolling,10,0.1182675,0.40487767491502835,188.0,343.5,0.592292472472663,0.5661315,3.4536569999999998
W3,0.9,M0_AltoThreshold,10,0.117936,0.40517826648029764,220.5,385.5,0.24685671528969413,0.407584,1.8149134999999998
W3,0.9,M1_RescueSched,10,0.098097,0.4142062280893304,238.5,441.0,0.22104668961012286,0.351283,1.8149305
