schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescuesched-v2,rescuesched-trace-v2,e5dff89cd668f65e122b1e3f31fd3ebdba44726cdf9955e24e164f7350dbadf7,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79634e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,592,1.06e+03,0.377213,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,e5dff89cd668f65e122b1e3f31fd3ebdba44726cdf9955e24e164f7350dbadf7,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79614e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,153,321,0.009574,1000000,1200000,0,0,0.65776,657760,1.73354e+07,11984517,657760,657760,2328909,11036669,0,0,0,0,0,0,0,0,0,0,0,0,0,123.605,657760,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,e5dff89cd668f65e122b1e3f31fd3ebdba44726cdf9955e24e164f7350dbadf7,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79618e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,199,357,0.023809,1000000,1200000,0,0,0.249609,249609,3.72009e+06,0,0,0,0,0,2328944,249609,0.00252395,0,0,0,0,0,0,0,0,0,0,134.914,249609,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,e5dff89cd668f65e122b1e3f31fd3ebdba44726cdf9955e24e164f7350dbadf7,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79622e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,199,358,0.020991,1000000,1200000,0,0,0.252651,252651,3.75928e+06,0,0,0,0,0,0,0,0,2328986,12618999,307358,1084966,1084866,252651,252651,0.5,0.5,1,129.782,252651,0.5,0.5,3.75928e+06,100,144466,0,1611,251040,112,0,2383,112,0.000443299,116,0.993624,0.00681968,0.993624,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,455274a26cc182b9f0acd398719cbcd89e735db3b1d5873385f13c16f692b292,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80084e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,567,946,0.374508,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,455274a26cc182b9f0acd398719cbcd89e735db3b1d5873385f13c16f692b292,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,152,320,0.009318,1000000,1200000,0,0,0.655642,655642,1.72586e+07,12120349,655642,655642,2334582,11171913,0,0,0,0,0,0,0,0,0,0,0,0,0,111.988,655642,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,455274a26cc182b9f0acd398719cbcd89e735db3b1d5873385f13c16f692b292,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,198,354,0.02378,1000000,1200000,0,0,0.249273,249273,3.69519e+06,0,0,0,0,0,2334582,249273,0.00270787,0,0,0,0,0,0,0,0,0,0,107.3,249273,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,455274a26cc182b9f0acd398719cbcd89e735db3b1d5873385f13c16f692b292,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,199,354,0.021246,1000000,1200000,0,0,0.252347,252347,3.7356e+06,0,0,0,0,0,0,0,0,2334583,12711674,321536,1083517,1083088,252347,252347,0.5,0.5,1,108.932,252347,0.5,0.5,3.7356e+06,429,202627,0,1662,250685,118,0,2469,118,0.00046761,123,0.993414,0.00705378,0.993414,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,c65893b434db82b5720fdf9dd3fe14726b6891772db9eb15835629dd497fe68f,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79886e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,558,900,0.376014,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,c65893b434db82b5720fdf9dd3fe14726b6891772db9eb15835629dd497fe68f,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79862e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,152,331,0.009585,1000000,1200000,0,0,0.65692,656920,1.7292e+07,12026172,656920,656920,2329592,11078082,0,0,0,0,0,0,0,0,0,0,0,0,0,116.227,656920,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
