schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79634e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,592,1.06e+03,0.377213,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.377213,592.152,1061.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0573855,12.0022,25.625,410780,589220,0,0,624753,375247,4.32687,24.7811,0,0,0,0,1000037,0,0
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79614e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,153,321,0.009574,1000000,1200000,0,0,0.65776,657760,1.73354e+07,11984517,657760,657760,2328909,11036669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.605,657760,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.009574,153.435,321.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0222283,12.0156,25.631,410239,589761,0,0,624753,375247,4.32682,24.8167,0,0,0,0,1000009,2328909,0
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79617e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,357,0.023855,1000000,1200000,0,0,0.249572,249572,3.7221e+06,0,0,0,0,0,2328936,249572,0.00270062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.482,249572,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.023855,199.024,357.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.112062,11.9753,25.6168,411342,588658,0,0,624753,375247,4.32571,24.7112,2328936,10181316,270902,1083608,1000014,0,0
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79617e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,358,0.021239,1000000,1200000,0,0,0.252587,252587,3.75909e+06,0,0,0,0,0,0,0,0,2328936,12639815,313177,1084814,1084750,252587,25279630,313177,1252708,0,0,252587,0.5,0.5,1,132.888,252587,0.5,0.5,3.75909e+06,64,167894,0,231848,20739,0,252587,109.747,0.506504,252587,0.00657595,117.417,228.586,747413,0.0261944,211.24,377.333,1661,250926,141,0,2552,141,0.000558224,148,0.993424,0.00713418,0.993424,0,0,0,0,0,0,0,1000000,-0.108967,11.9772,25.6183,411151,588849,0,0,624753,375247,4.32585,24.716,2328936,25279630,313177,1252708,1000011,0,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80084e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,567,946,0.374508,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.374508,567.465,946.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0639069,11.9254,25.2785,410380,589620,0,0,624739,375261,4.32481,24.5789,0,0,0,0,1000060,0,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,152,320,0.009318,1000000,1200000,0,0,0.655642,655642,1.72586e+07,12120349,655642,655642,2334582,11171913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.988,655642,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.009318,152.128,319.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0254804,11.9487,25.2946,410096,589904,0,0,624739,375261,4.32624,24.6387,0,0,0,0,1000018,2334582,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,198,354,0.023919,1000000,1200000,0,0,0.249461,249461,3.70166e+06,0,0,0,0,0,2334582,249461,0.00265372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.934,249461,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.023919,198.457,353.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.114239,11.9093,25.2808,411434,588566,0,0,624739,375261,4.32496,24.5359,2334582,10263750,271493,1085972,1000024,0,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,354,0.021123,1000000,1200000,0,0,0.252289,252289,3.73405e+06,0,0,0,0,0,0,0,0,2334582,12720754,322303,1083270,1082888,252289,25441508,322303,1289212,0,0,252289,0.5,0.5,1,107.964,252289,0.5,0.5,3.73405e+06,382,205942,0,231930,20359,0,252289,109.043,0.507952,252289,0.00646084,116.457,225.876,747711,0.0260702,211.209,377.101,1630,250659,148,0,2521,148,0.000586629,156,0.993539,0.00704747,0.993539,0,0,0,0,0,0,0,1000000,-0.113715,11.9083,25.2778,411460,588540,0,0,624739,375261,4.32526,24.5326,2334582,25441508,322303,1289212,1000023,0,0
rescuesched-v2,rescuesched-trace-v2,7f5d3df988568d6f14055fd9ad19a756138c45fabebde7f9549667c0e0c89e3d,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79886e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,37,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,558,900,0.376014,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.376014,558.105,900.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0630257,11.9633,25.5907,410420,589580,0,0,624416,375584,4.32754,24.6578,0,0,0,0,1000045,0,0
rescuesched-v2,rescuesched-trace-v2,7f5d3df988568d6f14055fd9ad19a756138c45fabebde7f9549667c0e0c89e3d,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79862e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,37,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,152,331,0.009585,1000000,1200000,0,0,0.65692,656920,1.7292e+07,12026172,656920,656920,2329592,11078082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.227,656920,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.009585,152.12,330.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0218446,11.9858,25.6039,409904,590096,0,0,624416,375584,4.32873,24.7157,0,0,0,0,1000015,2329592,0
