schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79634e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,592,1.06e+03,0.377213,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.377213,592.152,1061.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0321494,11.8639,25.3727,406683,593317,0,0,624753,375247,4.29488,24.4657,0,0,0,0,1000037,0,0
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79614e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,154,321,0.009635,1000000,1200000,0,0,0.657818,657818,1.73536e+07,11984507,657818,657818,2328908,11036699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7267,657818,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.009635,153.569,321.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.00609334,11.8732,25.374,406345,593655,0,0,624753,375247,4.29489,24.4905,0,0,0,0,1000009,2328908,0
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79618e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,356,0.023639,1000000,1200000,0,0,0.249101,249101,3.68257e+06,0,0,0,0,0,2328944,249101,0.00239662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7213,249101,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.023639,198.933,356.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0319549,11.863,25.3723,406814,593186,0,0,624753,375247,4.2947,24.4636,2328944,10202379,270359,1081436,1000011,0,0
rescuesched-v2,rescuesched-trace-v2,9858dece5772bd6b450e04589ac960a9133377937a38e78906af57e172ab4ef2,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61137e+07,2.79626e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,358,0.021078,1000000,1200000,0,0,0.252285,252285,3.72347e+06,0,0,0,0,0,0,0,0,2329023,12657902,304266,1082430,1082430,252285,25315804,304266,1217064,0,0,252285,0.5,0.5,1,67.2045,252285,0.5,0.5,3.72347e+06,0,134634,0,231863,20422,0,252285,109.798,0.487714,252285,0.00637771,115.689,226.089,747715,0.026038,211.481,376.822,1609,250676,135,0,2368,135,0.000535109,144,0.993622,0.00691282,0.993622,0,0,0,0,0,0,0,1000000,-0.0320812,11.8629,25.3725,406819,593181,0,0,624753,375247,4.29478,24.4631,2329023,25315804,304266,1217064,1000011,0,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80084e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,567,946,0.374508,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.374508,567.465,946.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0340596,11.7921,25.0234,406529,593471,0,0,624739,375261,4.29406,24.275,0,0,0,0,1000060,0,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,152,320,0.009339,1000000,1200000,0,0,0.655455,655455,1.72586e+07,12120128,655455,655455,2334582,11171839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.851,655455,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.009339,152.107,319.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.00579999,11.8048,25.0272,406371,593629,0,0,624739,375261,4.29454,24.3078,0,0,0,0,1000018,2334582,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,198,353,0.023761,1000000,1200000,0,0,0.249107,249107,3.66782e+06,0,0,0,0,0,2334582,249107,0.00252903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8512,249107,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.023761,198.399,353.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0318395,11.7942,25.0255,406649,593351,0,0,624739,375261,4.29423,24.2803,2334582,10284076,271094,1084376,1000021,0,0
rescuesched-v2,rescuesched-trace-v2,cd78e2ce6a13d7d68d8320e94cc22e17e735ad9c587a49f41c6ff6c877670c62,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.80053e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,23,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,198,354,0.021051,1000000,1200000,0,0,0.252126,252126,3.70362e+06,0,0,0,0,0,0,0,0,2334582,12716299,313391,1082112,1082063,252126,25432598,313391,1253564,0,0,252126,0.5,0.5,1,66.3126,252126,0.5,0.5,3.70362e+06,49,171452,0,232037,20089,0,252126,109.084,0.491014,252126,0.00640949,115.961,223.755,747874,0.025987,211.174,375.604,1616,250510,124,0,2434,124,0.000491818,127,0.993591,0.00690131,0.993591,0,0,0,0,0,0,0,1000000,-0.0316257,11.794,25.0257,406644,593356,0,0,624739,375261,4.29423,24.2798,2334582,25432598,313391,1253564,1000022,0,0
rescuesched-v2,rescuesched-trace-v2,7f5d3df988568d6f14055fd9ad19a756138c45fabebde7f9549667c0e0c89e3d,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79886e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,37,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,558,900,0.376014,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.376014,558.105,900.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0338207,11.8311,25.3405,406459,593541,0,0,624416,375584,4.29652,24.3574,0,0,0,0,1000045,0,0
rescuesched-v2,rescuesched-trace-v2,7f5d3df988568d6f14055fd9ad19a756138c45fabebde7f9549667c0e0c89e3d,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79862e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,37,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,152,331,0.00951,1000000,1200000,0,0,0.656995,656995,1.73028e+07,12026386,656995,656995,2329592,11078358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9101,656995,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.00951,152.117,330.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.00503649,11.8437,25.343,406089,593911,0,0,624416,375584,4.2967,24.3908,0,0,0,0,1000015,2329592,0
rescuesched-v2,rescuesched-trace-v2,7f5d3df988568d6f14055fd9ad19a756138c45fabebde7f9549667c0e0c89e3d,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.79864e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,37,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,361,0.023554,1000000,1200000,0,0,0.248797,248797,3.67925e+06,0,0,0,0,0,2329606,248797,0.00226289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2334,248797,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0.023554,198.584,361.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-0.0315544,11.8332,25.3421,406476,593524,0,0,624416,375584,4.29641,24.3634,2329606,10213284,269885,1079540,1000016,0,0
