profile,dimension,value,workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,rescue_moves_per_request_median,estimator_mae_us_median,estimator_rmse_us_median,control_operations_per_request_median,configured_control_cost_per_request_us_median,rescue_migrated_fraction_median,rescue_migrated_miss_rate_median,rescue_nonmigrated_miss_rate_median
baseline,baseline,corrected-default,W2,0.85,L0_RandomCore,5,0.756009,0.10581390810330246,4790.0,7380.0,0.0,0.0,0.0,0.0,0.0,1.000352,0.0,0.0,0.0,0.756009
baseline,baseline,corrected-default,W2,0.85,L1_WorkStealingPolling,5,0.222953,0.33705663683801873,575.0,1190.0,0.6180402891890548,0.562683,0.0,0.0,0.0,2.922827,0.0,0.0,0.0,0.222953
baseline,baseline,corrected-default,W2,0.85,M0_AltoThreshold,5,0.21426,0.3408170169944393,435.0,652.0,0.3762833192410846,0.542846,0.0,0.0,0.0,71.478223,0.0,0.0,0.0,0.21426
baseline,baseline,corrected-default,W2,0.85,M1_RescueSched,5,0.179199,0.3556684591618749,3340.0,5930.0,0.2645337424956093,0.388332,0.388332,0.0,0.0,454.902804,0.0,0.388332,0.0036604,0.291615
baseline,baseline,corrected-default,W3,0.7,L0_RandomCore,5,0.376014,0.22294291247150622,567.0,964.0,0.0,0.0,0.0,11.9633,25.5907,1.000045,0.0,0.0,0.0,0.376014
baseline,baseline,corrected-default,W3,0.7,L1_WorkStealingPolling,5,0.009574,0.3538940620734505,152.0,321.0,0.6629656325241156,0.65692,0.0,11.9858,25.6039,3.329611,0.0,0.0,0.0,0.009574
baseline,baseline,corrected-default,W3,0.7,M0_AltoThreshold,5,0.023855,0.3488526570048309,199.0,357.0,0.1422117257349671,0.249461,0.0,11.9474,25.5945,14.872515,0.0,0.0,0.0,0.023855
baseline,baseline,corrected-default,W3,0.7,M1_RescueSched,5,0.021166,0.34976344977416957,199.0,358.0,0.14360421427147393,0.252289,0.252289,11.9495,25.5949,30.174462,0.0,0.252289,0.00646084,0.0260702
baseline,baseline,corrected-default,W3,0.85,L0_RandomCore,5,0.597053,0.17479763319769917,1020.0,1610.0,0.0,0.0,0.0,11.9833,25.6072,1.000092,0.0,0.0,0.0,0.597053
baseline,baseline,corrected-default,W3,0.85,L1_WorkStealingPolling,5,0.057792,0.40888705688375926,164.0,328.0,0.6645298817611606,0.64287,0.0,11.9736,25.6041,2.918563,0.0,0.0,0.0,0.057792
baseline,baseline,corrected-default,W3,0.85,M0_AltoThreshold,5,0.057581,0.40906913578104254,209.0,370.0,0.20615884797644424,0.349068,0.0,11.9521,25.5947,20.664879,0.0,0.0,0.0,0.057581
baseline,baseline,corrected-default,W3,0.85,M1_RescueSched,5,0.048976,0.4128873963580512,214.0,385.0,0.20007744567301056,0.33465,0.33465,11.9512,25.5938,52.779903,0.0,0.33465,0.0226326,0.0620342
baseline,baseline,corrected-default,W3,0.9,L0_RandomCore,5,0.702738,0.1365234204567896,1440.0,2150.0,0.0,0.0,0.0,11.9931,25.6135,1.000162,0.0,0.0,0.0,0.702738
baseline,baseline,corrected-default,W3,0.9,L1_WorkStealingPolling,5,0.118925,0.404766280004594,188.0,344.0,0.5906382750318218,0.564358,0.0,11.9702,25.6001,2.811996,0.0,0.0,0.0,0.118925
baseline,baseline,corrected-default,W3,0.9,M0_AltoThreshold,5,0.117903,0.40523020240906293,220.0,385.0,0.24750831965893233,0.407865,0.0,11.9532,25.5943,28.428431,0.0,0.0,0.0,0.117903
baseline,baseline,corrected-default,W3,0.9,M1_RescueSched,5,0.098377,0.4142003326013653,238.0,435.0,0.2221624978913307,0.351723,0.351723,11.9536,25.5904,91.457336,0.0,0.351723,0.0400031,0.130048
