profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
baseline,baseline,corrected-default,W2,0.85,L1_WorkStealingPolling,5,0.0628,0.025240000000000002,0.10124,0.2803070880199964,1.2085889570552146,1.275109170305677,0.25882521934932834,0.7028690731707318,0.6317589872296773,1
baseline,baseline,corrected-default,W2,0.85,M0_AltoThreshold,5,0.07451999999999999,0.014160000000000002,0.13663999999999998,0.31608415337631485,1.0102564102564102,1.424390243902439,0.25882521934932834,0.2781080975609756,0.06933591067918998,1
baseline,baseline,corrected-default,W3,0.7,L1_WorkStealingPolling,5,-0.01148,-0.014560000000000002,-0.00864,-1.427860696517413,1.2960526315789473,1.171875,0.14686388644031734,0.6646676764894887,0.7790416299224987,1
baseline,baseline,corrected-default,W3,0.7,M0_AltoThreshold,5,0.0033999999999999994,0.0019599999999999986,0.0048400000000000006,0.1483420593368237,0.9899497487437185,0.9715025906735751,0.14686388644031734,0.14485394692847808,-0.013875628206607704,1
baseline,baseline,corrected-default,W3,0.85,L1_WorkStealingPolling,5,0.006520000000000001,0.001960000000000001,0.011080000000000001,0.13755274261603379,1.3459119496855345,1.2125,0.20389546803757766,0.6823701086142027,0.7011951938345298,1
baseline,baseline,corrected-default,W3,0.85,M0_AltoThreshold,5,0.009040000000000001,0.002760000000000001,0.01676,0.1810897435897436,1.0288461538461537,1.0025839793281655,0.20389546803757766,0.20714915346971033,0.015706969483746502,1
baseline,baseline,corrected-default,W3,0.9,L1_WorkStealingPolling,5,0.020200000000000003,0.01152,0.02936000000000001,0.1835029069767442,1.3836477987421383,1.234375,0.22292144802472538,0.6153940849265934,0.6377582211383843,1
baseline,baseline,corrected-default,W3,0.9,M0_AltoThreshold,5,0.021160000000000005,0.004960000000000001,0.038320000000000014,0.19056195965417871,1.0377358490566038,1.020671834625323,0.22292144802472538,0.2430355025988632,0.08276179553625385,1
budget-2,budget-per-check,2,W2,0.85,L1_WorkStealingPolling,5,0.06212,0.02912,0.09512000000000001,0.277271915729334,1.196319018404908,1.275109170305677,0.2629831508657504,0.7028690731707318,0.6258433314196057,1
budget-2,budget-per-check,2,W2,0.85,M0_AltoThreshold,5,0.06852,0.009120000000000001,0.12792,0.29734421107446624,1.0051546391752577,1.424390243902439,0.2629831508657504,0.2854119024390244,0.07858379899929258,1
