schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,13109.8,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,754,964,0.3908,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.3908,753.716,963.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.129274,12.0693,25.2652,2039,2961,0,0,3104,1896,4.26543,24.8452,0,0,0,0,5022,0,0
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,12977.5,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,152,320,0.0106,5000,5500,0,0,0.6642,3321,88081.1,60494,3321,3321,11754,55728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3186,3321,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0106,151.844,320.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.101074,12.0752,25.2549,2038,2962,0,0,3104,1896,4.2674,24.8575,0,0,0,0,5011,11754,0
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,13017.9,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,198,375,0.0256,5000,5500,0,0,0.251,1255,19062.5,0,0,0,0,0,13049,1255,0.00398406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6248,1255,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0256,198.407,374.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.142351,12.031,25.293,2044,2956,0,0,3104,1896,4.26399,24.7467,13049,57577,1331,5324,5016,0,0
rescuesched-v2,rescuesched-trace-v2,98e7f37b397b849bdb47bf3c47609ea315f9aeb3f799b83f9cf4b9a18186b08c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,12993.2,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,199,375,0.0212,5000,5500,0,0,0.2564,1282,19493.5,0,0,0,0,0,0,0,0,11770,65651,1297,5178,5178,1282,131302,1297,5188,0,16,1282,0.5,0.5,3,71.0073,1282,0.5,0.5,19493.5,0,26,0,1165,117,0,1282,110.796,0.831226,1282,0.00624025,134.787,221.592,3718,0.0263583,215.163,397.257,8,1274,0,0,8,0,0,0,0.99376,0.00624025,0.99376,0,0,0,0,0,0,0,5000,-0.143273,12.0267,25.28,2048,2952,0,0,3104,1896,4.26526,24.7333,11770,131302,1297,5188,5016,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,13185.9,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,23,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,720,808,0.4144,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4144,719.545,807.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.06744,12.7065,27.7028,1986,3014,0,0,3106,1894,4.30009,26.4923,0,0,0,0,5044,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,12766.4,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,23,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,167,376,0.0076,5000,5500,0,0,0.6784,3392,91293.7,56201,3392,3392,11590,51450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3392,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0076,166.62,375.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0326857,12.8003,27.7967,1987,3013,0,0,3106,1894,4.28502,26.7647,0,0,0,0,5013,11590,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,12820.3,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,23,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,210,395,0.0282,5000,5500,0,0,0.2622,1311,20705.3,0,0,0,0,0,12954,1311,0.00228833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1244,1311,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0282,209.762,394.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.0494606,12.8037,27.872,1999,3001,0,0,3106,1894,4.28317,26.7766,12954,57981,1408,5632,5020,0,0
rescuesched-v2,rescuesched-trace-v2,a0d6fbd8e7fade2e5b1028b918e3a75e3c025322a62116e8c069ed57e3656d09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,12820.3,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,23,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,210,408,0.0252,5000,5500,0,0,0.27,1350,21277.8,0,0,0,0,0,0,0,0,11644,65786,1388,5487,5487,1350,131572,1388,5552,0,20,1350,0.5,0.5,4,77.1388,1350,0.5,0.5,21277.8,0,85,0,1211,139,0,1350,113.486,1.07118,1350,0.00962963,135.35,251.221,3650,0.0309589,223.189,522.143,13,1337,0,0,11,0,0,0,0.99037,0.00962963,0.99037,0,0,0,0,0,0,0,5000,0.000506051,12.8348,27.8893,1995,3005,0,0,3106,1894,4.2898,26.8478,11644,131572,1388,5552,5020,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13074,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,37,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,768,1.1e+03,0.3914,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.3914,768.09,1095.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.0787711,12.1909,29.1629,2036,2964,0,0,3152,1848,4.31417,25.6258,0,0,0,0,5052,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13025.1,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,37,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,151,370,0.0114,5000,5500,0,0,0.652,3260,86882.7,62388,3260,3260,11859,57651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.892,3260,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0114,150.887,369.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0939339,12.2905,29.2145,2008,2992,0,0,3152,1848,4.31984,25.8854,0,0,0,0,5017,11859,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13074,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,37,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,200,387,0.0242,5000,5500,0,0,0.2558,1279,19341.6,0,0,0,0,0,13186,1279,0.0039093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3765,1279,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0242,200.494,386.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.028241,12.235,29.1794,2014,2986,0,0,3152,1848,4.31122,25.7501,13186,56217,1387,5548,5022,0,0
rescuesched-v2,rescuesched-trace-v2,f43de835e4c5487970a689ae1ed1f46a04b3f7eaa1ccfb4fc6e214ffafedd001,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130716,13074,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,37,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,202,387,0.0192,5000,5500,0,0,0.2624,1312,19864.3,0,0,0,0,0,0,0,0,11908,63987,1335,5310,5310,1312,127974,1335,5340,0,18,1312,0.5,0.5,3,95.1109,1312,0.5,0.5,19864.3,0,48,0,1196,116,0,1312,120.702,1.25266,1312,0.00457317,107.583,210.789,3688,0.0244035,218.444,412.455,6,1306,2,0,21,2,0.00152439,2,0.995427,0.00609756,0.995427,0,0,0,0,0,0,0,5000,-0.0332075,12.2225,29.1822,2008,2992,0,0,3152,1848,4.31878,25.7032,11908,127974,1335,5340,5023,0,0
rescuesched-v2,rescuesched-trace-v2,c50d56e72c5cbf43833c3382475d50f6619940df2203cb6aebb5bd37a4b4c901,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,127598,13139.8,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,47,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,413,814,0.3452,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.3452,413.451,813.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.0753883,11.5107,24.9313,2087,2913,0,0,3173,1827,4.29584,24.0409,0,0,0,0,5037,0,0
rescuesched-v2,rescuesched-trace-v2,c50d56e72c5cbf43833c3382475d50f6619940df2203cb6aebb5bd37a4b4c901,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,127598,12909.7,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,47,1,64,2,4,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,153,301,0.0044,5000,5500,0,0,0.6534,3267,84177.1,66345,3267,3267,11861,61513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6111,3267,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0044,153.015,301.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.0566606,11.4717,24.8015,2078,2922,0,0,3173,1827,4.26674,23.9846,0,0,0,0,5011,11861,0
