schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v3,e1fb53d6e45b0c415d2cc46e695cd053ffa5d3482c1301be3cf8ced5eb452d5f,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11712.2,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,716,810,0.6624,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.6624,716.141,809.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5042,0,0
rescuesched-v2,rescuesched-trace-v3,e1fb53d6e45b0c415d2cc46e695cd053ffa5d3482c1301be3cf8ced5eb452d5f,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11099.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,119,147,0.0544,5000,5500,0,0,0.6666,3333,89499.3,38658,3333,3333,10077,34273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3333,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0544,118.855,146.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5012,10077,0
rescuesched-v2,rescuesched-trace-v3,e1fb53d6e45b0c415d2cc46e695cd053ffa5d3482c1301be3cf8ced5eb452d5f,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11155.2,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,190,199,0.031,5000,5500,0,0,0.4394,2197,32223.7,0,0,0,0,0,10133,2197,0.00227583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2197,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.031,190.231,198.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10133,34841,3140,12560,5016,0,0
rescuesched-v2,rescuesched-trace-v3,e1fb53d6e45b0c415d2cc46e695cd053ffa5d3482c1301be3cf8ced5eb452d5f,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11155.2,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,192,199,0.013,5000,5500,0,0,0.4284,2142,31548.2,0,0,0,0,0,0,0,0,10133,50697,8135,9835,9480,2142,101394,8135,32540,0,0,2142,0.5,0.5,1,102.1,2142,0.5,0.5,31548.2,355,22705,0,1970,172,0,2142,108.17,1.96275,2142,0.000466853,110.004,135.289,2858,0.0223933,194.538,198.989,1,2141,0,0,294,0,0,0,0.999533,0.000466853,0.999533,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10133,101394,8135,32540,5016,0,0
rescuesched-v2,rescuesched-trace-v3,a7e83ac777e48ffa3ea5d551bf3afd9c655582732fce9b3b2ad3ccbe57e17084,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,11494.7,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,1.7e+03,1.88e+03,0.8238,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.8238,1696.5,1875.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5057,0,0
rescuesched-v2,rescuesched-trace-v3,a7e83ac777e48ffa3ea5d551bf3afd9c655582732fce9b3b2ad3ccbe57e17084,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10109.4,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,613,717,0.4754,5000,5500,0,0,0.385,1925,57747.5,12605,1925,1925,9097,10343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,1925,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4754,612.52,716.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5022,9097,0
rescuesched-v2,rescuesched-trace-v3,a7e83ac777e48ffa3ea5d551bf3afd9c655582732fce9b3b2ad3ccbe57e17084,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10127.6,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,489,521,0.4968,5000,5500,0,0,0.6554,3277,71051.7,0,0,0,0,0,9115,3277,0.00579799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3277,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4968,488.897,520.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,9115,546229,92273,369092,5022,0,0
rescuesched-v2,rescuesched-trace-v3,a7e83ac777e48ffa3ea5d551bf3afd9c655582732fce9b3b2ad3ccbe57e17084,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10366.1,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,915,1.12e+03,0.4664,5000,5500,0,0,0.2622,1311,28878.1,0,0,0,0,0,0,0,0,9354,655296,619791,20246,5860,1311,1408778,619791,2479164,0,0,1311,0.5,0.5,1,102.1,1311,0.5,0.5,28878.1,14386,2458918,0,1105,206,86,1225,135.092,7.16505,1311,0.00381388,190.573,197.424,3689,0.630794,948.797,1131.17,5,1306,0,0,581,0,0,0,0.996186,0.00381388,0.996186,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,9354,1408778,619791,2479164,5022,0,0
rescuesched-v2,rescuesched-trace-v3,f0587ac611991c619a7d4477a928b6a00e53b9b3538fca1098f5774ca51f3ec1,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,11057.8,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,37,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,1.16e+03,1.32e+03,0.8178,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.8178,1155.25,1317.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5067,0,0
rescuesched-v2,rescuesched-trace-v3,f0587ac611991c619a7d4477a928b6a00e53b9b3538fca1098f5774ca51f3ec1,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,9879.02,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,37,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,650,760,0.5032,5000,5500,0,0,0.3518,1759,52483.9,14315,1759,1759,8872,12209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,1759,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.5032,650.058,760.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5021,8872,0
