schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v3,eefe319ea8fe3a11b9ebfcc9f04cd6ffc5820e828dfd3b7ffa83ff1c772adf09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,30185,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,1.9e+04,1.92e+04,0.7062,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7062,18976.7,19222.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5136,0,0
rescuesched-v2,rescuesched-trace-v3,eefe319ea8fe3a11b9ebfcc9f04cd6ffc5820e828dfd3b7ffa83ff1c772adf09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11099.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,120,157,0.0494,5000,5500,0,0,0.6988,3494,92447.4,38666,3494,3494,10077,34213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3494,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0494,119.775,157.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5012,10077,0
rescuesched-v2,rescuesched-trace-v3,eefe319ea8fe3a11b9ebfcc9f04cd6ffc5820e828dfd3b7ffa83ff1c772adf09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11182.8,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,191,200,0.0236,5000,5500,0,0,0.5462,2731,43995.1,0,0,0,0,0,10160,2731,0.0010985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2731,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0236,190.678,199.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10160,32259,3418,13672,5015,0,0
rescuesched-v2,rescuesched-trace-v3,eefe319ea8fe3a11b9ebfcc9f04cd6ffc5820e828dfd3b7ffa83ff1c772adf09,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11182.8,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,190,199,0.0116,5000,5500,0,0,0.534,2670,43467,0,0,0,0,0,0,0,0,10160,51099,8912,12512,12423,2670,102198,8912,35648,0,0,2670,0.5,0.5,1,102.1,2670,0.5,0.5,43467,89,23136,0,2412,258,0,2670,117.835,2.45084,2670,0.00224719,113.924,131.905,2330,0.0223176,194.568,199.652,6,2664,0,0,460,0,0,0,0.997753,0.00224719,0.997753,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10160,102198,8912,35648,5015,0,0
rescuesched-v2,rescuesched-trace-v3,01ea4a36ddae46c1271d8c2fb4aa4391961311d6d564eb16585a91adf447e346,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,34608,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,2.43e+04,2.45e+04,0.7724,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7724,24325.4,24547.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5145,0,0
rescuesched-v2,rescuesched-trace-v3,01ea4a36ddae46c1271d8c2fb4aa4391961311d6d564eb16585a91adf447e346,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10092.8,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,739,951,0.4674,5000,5500,0,0,0.4856,2428,71008.8,12573,2428,2428,9080,9851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2428,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4674,738.814,951.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5022,9080,0
rescuesched-v2,rescuesched-trace-v3,01ea4a36ddae46c1271d8c2fb4aa4391961311d6d564eb16585a91adf447e346,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10129.3,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,491,523,0.51,5000,5500,0,0,0.727,3635,81573.5,0,0,0,0,0,9117,3635,0.00192572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3635,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.51,490.897,523.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,9117,555376,82401,329604,5025,0,0
rescuesched-v2,rescuesched-trace-v3,01ea4a36ddae46c1271d8c2fb4aa4391961311d6d564eb16585a91adf447e346,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,23623.1,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,23,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,1.33e+04,1.36e+04,0.3574,5000,5500,0,0,0.3448,1724,35325.4,0,0,0,0,0,0,0,0,22611,616827,581667,13929,7830,1724,2334324,581667,2326668,0,0,1724,0.5,0.5,1,102.1,1724,0.5,0.5,35325.4,6099,2312739,0,1481,243,341,1383,127.402,4.67038,1724,0.00290023,174.709,196.931,3276,0.543956,13400.6,13567.7,5,1719,0,0,432,0,0,0,0.9971,0.00290023,0.9971,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,22611,2334324,581667,2326668,5030,0,0
rescuesched-v2,rescuesched-trace-v3,503ebae56528c413ef1274cda538741a364eecb952ed04e22b33624e5ee122fe,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,30657.9,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,37,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,2.01e+04,2.08e+04,0.7476,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7476,20137.1,20818.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5141,0,0
rescuesched-v2,rescuesched-trace-v3,503ebae56528c413ef1274cda538741a364eecb952ed04e22b33624e5ee122fe,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,9879.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,37,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,921,1.08e+03,0.4804,5000,5500,0,0,0.4718,2359,65103.9,14576,2359,2359,8872,11927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2359,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4804,921.04,1079.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5021,8872,0
