profile,dimension,value,workload,rho,paired_seeds,same_trace_identity,mean_slo_change_vs_default,ci95_low,ci95_high,p99_over_default,p999_over_default,work_rate_over_default,comparison_scope
budget-2,budget-per-check,2,W2,0.85,5,1,0.000679999999999998,-0.004559999999999997,0.007639999999999991,0.9898477157360406,1.0,1.0160646305134982,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.7,5,1,0.0005999999999999998,-0.0011600000000000007,0.001960000000000001,1.0050761421319796,1.0,0.9916488588325995,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.85,5,1,0.0012000000000000003,-0.0016800000000000003,0.005520000000000002,0.9766355140186916,0.9819587628865979,0.9973023067341027,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.9,5,1,0.0021200000000000064,-0.005079999999999997,0.01112000000000001,0.9772727272727273,0.979746835443038,1.0007927410996793,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W2,0.85,5,1,0.00431999999999999,-0.0013999999999999985,0.010959999999999982,1.0050761421319796,0.8835616438356164,1.0073018320578628,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.7,5,1,0.0009199999999999993,0.0004799999999999992,0.0012799999999999992,1.0101522842639594,1.0,1.0086305473774622,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.85,5,1,-0.00011999999999999996,-0.0014399999999999997,0.0011999999999999997,1.0,1.0,0.9955501193138327,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.9,5,1,0.004640000000000003,-0.0005199999999999982,0.011280000000000002,1.018181818181818,0.9746835443037974,1.0001818843215715,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W2,0.85,5,1,0.003920000000000002,-0.004200000000000004,0.01596000000000001,1.0,1.0,1.0370640934380462,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.9,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W2,0.85,5,1,-0.01448,-0.034960000000000005,-0.0016799999999999996,0.9949238578680203,1.6952054794520548,0.9696928656444868,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.9,5,1,-0.00015999999999999904,-0.0004799999999999971,0.0,1.0,1.0,0.9978311152597514,same_trace_parameter_sensitivity
check-2,check-period-us,2,W2,0.85,5,1,0.009039999999999998,0.001999999999999996,0.017400000000000006,1.0101522842639594,1.106164383561644,0.9617627074604304,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.7,5,1,0.00015999999999999971,-0.001080000000000001,0.001320000000000001,1.0101522842639594,1.0,1.003140732768657,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.85,5,1,0.0030000000000000005,0.00011999999999999996,0.0057599999999999995,0.9953271028037384,1.0025773195876289,1.0068286533295314,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.9,5,1,0.002760000000000004,-0.0003199999999999981,0.00616000000000001,1.009090909090909,0.979746835443038,0.9983355868686383,same_trace_parameter_sensitivity
check-5,check-period-us,5,W2,0.85,5,1,0.1084,0.09584,0.11804,1.1269035532994924,1.0513698630136987,0.9341631245115509,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.7,5,1,0.01604,0.011919999999999998,0.01996,1.0355329949238579,1.0,0.9780407415647782,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.85,5,1,0.05864,0.04792,0.07472,1.0046728971962617,1.0,0.910128168570185,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.9,5,1,0.08388000000000001,0.07144,0.10108,1.0818181818181818,1.0253164556962024,0.907894382357754,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.9,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W2,0.85,5,1,-0.0036000000000000103,-0.00972000000000002,0.0029199999999999907,0.9949238578680203,0.9657534246575342,1.0227404619059617,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W3,0.85,5,1,-0.0005200000000000003,-0.0019199999999999987,0.000839999999999997,0.9766355140186916,1.0128865979381443,0.9922320606788014,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W3,0.9,5,1,0.0006800000000000056,-0.002639999999999999,0.005000000000000006,1.018181818181818,0.979746835443038,1.0233669876524567,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W2,0.85,5,1,-0.00012000000000001108,-0.003920000000000005,0.003759999999999997,0.9949238578680203,0.9554794520547946,1.0158892427815625,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W3,0.85,5,1,0.0005999999999999998,-0.001440000000000001,0.002640000000000001,0.9813084112149533,0.9819587628865979,0.9834439900376336,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W3,0.9,5,1,0.0008400000000000046,-0.004719999999999999,0.008040000000000009,1.0136363636363637,0.979746835443038,1.0280101855220078,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W2,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W3,0.7,5,1,0.00023999999999999925,-0.0008800000000000002,0.0011199999999999995,1.0,1.0,0.9783615412874418,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W3,0.85,5,1,-0.00208,-0.0034399999999999986,-0.0009199999999999986,0.9906542056074766,0.9819587628865979,0.9727999146554562,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W3,0.9,5,1,-0.0015199999999999964,-0.007600000000000001,0.0045600000000000085,1.0318181818181817,0.9772151898734177,1.0110366033617713,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W2,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W3,0.7,5,1,0.0011199999999999995,-0.00011999999999999996,0.002239999999999999,1.0050761421319796,1.0,1.0522437870924681,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W3,0.85,5,1,0.0038800000000000006,0.00016000000000000042,0.0075200000000000015,1.0,1.0,1.0277719426271363,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W3,0.9,5,1,0.001200000000000001,-0.0064,0.010720000000000004,0.9954545454545455,0.979746835443038,1.0464079562379458,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W2,0.85,5,1,0.005519999999999998,-0.0024799999999999987,0.013519999999999994,1.0,0.886986301369863,1.0232500816383663,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W3,0.7,5,1,-0.000640000000000001,-0.0018400000000000007,0.00068,1.0,1.0,0.998618491516917,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W3,0.85,5,1,-0.00031999999999999943,-0.0030399999999999997,0.002640000000000002,1.014018691588785,1.0,0.9870814611766412,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W3,0.9,5,1,0.0010000000000000065,-0.007879999999999998,0.011440000000000014,1.018181818181818,0.979746835443038,1.008061250403234,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W2,0.85,5,1,0.005599999999999996,0.0021999999999999984,0.009279999999999991,1.0,0.9006849315068494,0.9788024875427866,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W3,0.7,5,1,0.0037199999999999998,0.0022799999999999995,0.00528,1.0050761421319796,1.008,0.9977492277522806,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W3,0.85,5,1,0.007119999999999999,0.0037600000000000003,0.011439999999999995,0.985981308411215,1.0,1.002272375482578,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W3,0.9,5,1,0.012040000000000009,0.004440000000000002,0.020920000000000015,0.9954545454545455,0.979746835443038,0.9975840271247862,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W2,0.85,5,1,0.015359999999999997,0.010599999999999998,0.021399999999999992,1.0,0.9452054794520548,0.9704956785993922,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W3,0.7,5,1,0.010239999999999999,0.00864,0.01184,1.015228426395939,1.008,1.0093031919572404,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W3,0.85,5,1,0.021759999999999998,0.0166,0.029679999999999998,1.0186915887850467,0.9819587628865979,1.000882235385396,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W3,0.9,5,1,0.029160000000000005,0.021760000000000005,0.03760000000000001,1.0636363636363637,0.9746835443037974,1.0026870834677446,same_trace_parameter_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,5,0,0.043639999999999984,-0.004960000000000001,0.09223999999999997,0.9898477157360406,0.910958904109589,0.9685722664431007,placement_model_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,5,0,0.0005199999999999996,-0.001280000000000002,0.0025600000000000006,1.015228426395939,1.0026666666666666,0.9834477691483802,placement_model_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,5,0,0.00031999999999999943,-0.00364,0.004839999999999999,0.9719626168224299,0.9948453608247423,0.9904021443578457,placement_model_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,5,0,-0.001559999999999996,-0.0043599999999999976,0.001240000000000005,1.0,0.9746835443037974,1.0325041953274152,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,5,0,0.011799999999999995,-0.006320000000000004,0.03799999999999999,1.015228426395939,1.9828767123287672,1.3344954927850798,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.7,5,0,0.0011199999999999988,-0.0006800000000000015,0.0026399999999999987,1.0507614213197969,0.9973333333333333,1.8319871693005636,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.85,5,0,0.003879999999999999,0.001200000000000001,0.006439999999999996,1.0046728971962617,0.9639175257731959,1.6213961969653763,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.9,5,0,0.01984,0.00020000000000000155,0.04496,1.05,1.010126582278481,1.533970378010716,placement_model_sensitivity
scan-128,scan-depth,128,W2,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-128,scan-depth,128,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-128,scan-depth,128,W3,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-128,scan-depth,128,W3,0.9,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W2,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W3,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W3,0.9,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W2,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W3,0.7,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W3,0.85,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W3,0.9,5,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-8,h-targets,8,W2,0.85,5,1,0.0024399999999999977,-0.004399999999999999,0.01132,0.9949238578680203,0.9006849315068494,1.026781862952,same_trace_parameter_sensitivity
targets-8,h-targets,8,W3,0.7,5,1,-0.00012000000000000136,-0.0009200000000000021,0.0008399999999999998,1.0,1.0,1.0128733824191403,same_trace_parameter_sensitivity
targets-8,h-targets,8,W3,0.85,5,1,0.0005999999999999992,-0.0021999999999999993,0.003679999999999997,0.9953271028037384,1.0128865979381443,1.005789347300806,same_trace_parameter_sensitivity
targets-8,h-targets,8,W3,0.9,5,1,0.002080000000000003,-0.00432,0.008760000000000007,1.0454545454545454,0.9974683544303797,0.9999862728813906,same_trace_parameter_sensitivity
