profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
baseline,baseline,corrected-default,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
baseline,baseline,corrected-default,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
baseline,baseline,corrected-default,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
baseline,baseline,corrected-default,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
baseline,baseline,corrected-default,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
baseline,baseline,corrected-default,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
baseline,baseline,corrected-default,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
baseline,baseline,corrected-default,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1622056712132089,0.16210821966977748,-0.0006011511546417658,1
budget-2,budget-per-check,2,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23048428207306715,0.7334409515717927,0.6857493686722425,1
budget-2,budget-per-check,2,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23048428207306715,0.23169073916737468,0.005207187385405043,1
budget-2,budget-per-check,2,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
budget-2,budget-per-check,2,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
budget-2,budget-per-check,2,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.1585538406317301,0.7108991385498923,0.7769671785576338,1
budget-2,budget-per-check,2,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1585538406317301,0.15853068916008614,-0.000146037790957676,1
budget-2,budget-per-check,2,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.16431981335247667,0.693856783919598,0.7631790635176415,1
budget-2,budget-per-check,2,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.16431981335247667,0.15400125628140704,-0.06700307075556888,1
budget-4,budget-per-check,4,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23048428207306715,0.7334409515717927,0.6857493686722425,1
budget-4,budget-per-check,4,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23048428207306715,0.23169073916737468,0.005207187385405043,1
budget-4,budget-per-check,4,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
budget-4,budget-per-check,4,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
budget-4,budget-per-check,4,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15848636037329505,0.7108991385498923,0.7770621009661385,1
budget-4,budget-per-check,4,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15848636037329505,0.158612167982771,0.0007931775416474274,1
budget-4,budget-per-check,4,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.16431981335247667,0.693856783919598,0.7631790635176415,1
budget-4,budget-per-check,4,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.16431981335247667,0.15400125628140704,-0.06700307075556888,1
candidates-32,k-candidates,32,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
candidates-32,k-candidates,32,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
candidates-32,k-candidates,32,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
candidates-32,k-candidates,32,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
candidates-32,k-candidates,32,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
candidates-32,k-candidates,32,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
candidates-32,k-candidates,32,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
candidates-32,k-candidates,32,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1622056712132089,0.16210821966977748,-0.0006011511546417658,1
candidates-8,k-candidates,8,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
candidates-8,k-candidates,8,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
candidates-8,k-candidates,8,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
candidates-8,k-candidates,8,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
candidates-8,k-candidates,8,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
candidates-8,k-candidates,8,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
candidates-8,k-candidates,8,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
