schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v3,a97edb59f74a16467820b72b5c820340b7fb174d9ccb5947eb5a8f99d5bcd64b,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,794.468,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,286,303,0.265,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.265,285.688,303.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.52157,13.724,28.5793,86,114,0,0,120,80,4.2948,27.8679,0,0,0,0,206,0,0
rescuesched-v2,rescuesched-trace-v3,a97edb59f74a16467820b72b5c820340b7fb174d9ccb5947eb5a8f99d5bcd64b,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,667.505,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.63,126,3439.01,4360,126,126,615,4161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2525,126,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.55,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.4509,13.9039,28.7977,86,114,0,0,120,80,4.34751,28.2385,0,0,0,0,202,615,0
rescuesched-v2,rescuesched-trace-v3,a97edb59f74a16467820b72b5c820340b7fb174d9ccb5947eb5a8f99d5bcd64b,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,746.084,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,224,286,0.02,200,220,0,0,0.215,43,668.44,0,0,0,0,0,694,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0053,43,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.02,224.158,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.38388,13.8798,28.721,87,113,0,0,120,80,4.37691,28.1341,694,2029,43,172,205,0,0
rescuesched-v2,rescuesched-trace-v3,a97edb59f74a16467820b72b5c820340b7fb174d9ccb5947eb5a8f99d5bcd64b,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,746.084,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,224,286,0.025,200,220,0,0,0.22,44,681.133,0,0,0,0,0,0,0,0,694,2214,44,176,176,44,4428,44,176,0,0,44,0.5,0.5,1,53.2082,44,0.5,0.5,681.133,0,0,0,39,5,0,44,105.208,0,44,0,68.5619,68.5619,156,0.0320513,266.466,285.688,0,44,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,-1.50447,13.8569,28.7542,87,113,0,0,120,80,4.3764,28.0777,694,4428,44,176,205,0,0
rescuesched-v2,rescuesched-trace-v3,d33da8bb57110a1cd1467c31fed88ec00c91ee9552a8a85f58d1800a50991242,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,733.614,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,302,327,0.31,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.31,302.264,327.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.11532,13.6376,28.6764,87,113,0,0,120,80,4.33265,27.595,0,0,0,0,209,0,0
rescuesched-v2,rescuesched-trace-v3,d33da8bb57110a1cd1467c31fed88ec00c91ee9552a8a85f58d1800a50991242,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,582.842,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,287,0.005,200,220,0,0,0.745,149,3963.01,3123,149,149,540,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.739,149,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.82,286.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.81807,13.8026,28.7521,89,111,0,0,120,80,4.37841,27.939,0,0,0,0,206,540,0
rescuesched-v2,rescuesched-trace-v3,d33da8bb57110a1cd1467c31fed88ec00c91ee9552a8a85f58d1800a50991242,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,678.785,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,239,286,0.03,200,220,0,0,0.26,52,822.627,0,0,0,0,0,636,52,0.0192308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5041,52,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.03,239.208,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.97744,13.7019,28.7877,88,112,0,0,120,80,4.38073,27.6836,636,2627,56,224,208,0,0
rescuesched-v2,rescuesched-trace-v3,d33da8bb57110a1cd1467c31fed88ec00c91ee9552a8a85f58d1800a50991242,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,678.785,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,239,286,0.03,200,220,0,0,0.26,52,822.627,0,0,0,0,0,0,0,0,636,3006,56,224,224,52,6012,56,224,0,0,52,0.5,0.5,1,56.5041,52,0.5,0.5,822.627,0,0,0,46,6,0,52,116.777,0.0244668,52,0.0192308,283.805,283.805,148,0.0337838,239.208,285.688,1,51,0,0,0,0,0,0,0.980769,0.0192308,0.980769,0,0,0,0,0,0,0,200,-1.97744,13.7019,28.7877,88,112,0,0,120,80,4.38073,27.6836,636,6012,56,224,208,0,0
rescuesched-v2,rescuesched-trace-v3,c2c3e1db42db05afd752c61cfffba9e26c1f33eddbabad6ecbde3875b187e66e,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,717.837,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.9,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,308,334,0.325,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.325,308.43,333.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.06047,13.5948,28.665,88,112,0,0,120,80,4.34305,27.4725,0,0,0,0,210,0,0
rescuesched-v2,rescuesched-trace-v3,c2c3e1db42db05afd752c61cfffba9e26c1f33eddbabad6ecbde3875b187e66e,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,562.363,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.9,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.8,160,4313.08,2818,160,160,522,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2876,160,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.779,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.97318,13.4754,28.4763,90,110,0,0,120,80,4.36428,27.142,0,0,0,0,208,522,0
