schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v3,ce53562201711ed5c6ec077ea1e8e9adc6e1a26500f23a85d46fe5d4bbaf99d0,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,1427.37,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,870,884,0.36,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.36,870.392,883.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.25317,13.3993,28.5268,87,113,0,0,120,80,4.37791,26.9313,0,0,0,0,209,0,0
rescuesched-v2,rescuesched-trace-v3,ce53562201711ed5c6ec077ea1e8e9adc6e1a26500f23a85d46fe5d4bbaf99d0,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,668.363,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,180,287,0.005,200,220,0,0,0.67,134,3474.37,4378,134,134,616,4178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.328,134,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,179.581,286.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.40728,13.9237,28.8136,86,114,0,0,120,80,4.34947,28.285,0,0,0,0,202,616,0
rescuesched-v2,rescuesched-trace-v3,ce53562201711ed5c6ec077ea1e8e9adc6e1a26500f23a85d46fe5d4bbaf99d0,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,675.559,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,221,400,0.025,200,220,0,0,0.32,64,1009.27,0,0,0,0,0,623,64,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1783,64,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.025,221.028,399.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.80744,13.7085,28.8157,85,115,0,0,120,80,4.33915,27.7626,623,2003,68,272,208,0,0
rescuesched-v2,rescuesched-trace-v3,ce53562201711ed5c6ec077ea1e8e9adc6e1a26500f23a85d46fe5d4bbaf99d0,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,675.559,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,221,400,0.02,200,220,0,0,0.325,65,1020.51,0,0,0,0,0,0,0,0,623,2374,70,280,280,65,4748,70,280,0,0,65,0.5,0.5,1,59.192,65,0.5,0.5,1020.51,0,0,0,58,7,0,65,100.087,0.0195735,65,0.0153846,399.788,399.788,135,0.0222222,221.028,230.482,1,64,0,0,0,0,0,0,0.984615,0.0153846,0.984615,0,0,0,0,0,0,0,200,-1.81253,13.7086,28.8161,85,115,0,0,120,80,4.34035,27.761,623,4748,70,280,208,0,0
rescuesched-v2,rescuesched-trace-v3,f5b647652388039b1085a1c63241821939114eed8719073de4182a9216492012,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,1427.37,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,959,978,0.395,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.395,959.362,978.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.64221,13.138,28.4621,89,111,0,0,120,80,4.31774,26.3685,0,0,0,0,210,0,0
rescuesched-v2,rescuesched-trace-v3,f5b647652388039b1085a1c63241821939114eed8719073de4182a9216492012,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,583.363,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,180,287,0.005,200,220,0,0,0.775,155,3864.14,3147,155,155,541,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.378,155,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,179.581,286.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.77168,13.8047,28.75,89,111,0,0,120,80,4.36673,27.9618,0,0,0,0,207,541,0
rescuesched-v2,rescuesched-trace-v3,f5b647652388039b1085a1c63241821939114eed8719073de4182a9216492012,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,605.444,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,243,317,0.035,200,220,0,0,0.38,76,1310.95,0,0,0,0,0,563,76,0.0131579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2454,76,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.035,243.272,316.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.26643,13.3504,28.4716,87,113,0,0,120,80,4.35556,26.8426,563,2516,86,344,210,0,0
rescuesched-v2,rescuesched-trace-v3,f5b647652388039b1085a1c63241821939114eed8719073de4182a9216492012,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,605.444,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,243,317,0.035,200,220,0,0,0.38,76,1314.65,0,0,0,0,0,0,0,0,563,3006,86,344,344,76,6012,86,344,0,0,76,0.5,0.5,1,58.4745,76,0.5,0.5,1314.65,0,0,0,65,11,0,76,124.535,0.340567,76,0.0131579,316.565,316.565,124,0.0483871,243.272,269.28,1,75,0,0,0,0,0,0,0.986842,0.0131579,0.986842,0,0,0,0,0,0,0,200,-2.22469,13.3732,28.4966,88,112,0,0,120,80,4.36211,26.8897,563,6012,86,344,210,0,0
rescuesched-v2,rescuesched-trace-v3,eea49d3d4d816423853d33b837b76650b9193dcd97b25c5bc21998e5a4d044f9,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,1427.37,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.9,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,982,1e+03,0.415,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.415,982.429,1003.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.65389,13.0887,28.428,87,113,0,0,120,80,4.30516,26.2641,0,0,0,0,211,0,0
rescuesched-v2,rescuesched-trace-v3,eea49d3d4d816423853d33b837b76650b9193dcd97b25c5bc21998e5a4d044f9,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,561.431,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.9,11,1,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,flow_affine,4096,1.1,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,180,287,0.005,200,220,0,0,0.77,154,4111.37,2789,154,154,521,2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3591,154,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,179.581,286.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.9271,13.5167,28.5189,90,110,0,0,120,80,4.37014,27.2365,0,0,0,0,208,521,0
