profile,dimension,value,workload,rho,paired_seeds,same_trace_identity,mean_slo_change_vs_default,ci95_low,ci95_high,p99_over_default,p999_over_default,work_rate_over_default,comparison_scope
budget-2,budget-per-check,2,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.994792812614595,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0001460377909577,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0130337128378752,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.994792812614595,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.9997203772529726,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0130337128378752,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
check-2,check-period-us,2,W2,0.85,1,1,-0.005,-0.005,-0.005,0.9795918367346939,0.9707317073170731,1.0104143747708105,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.7,1,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.0,1.0,1.0010470208811784,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.9773279159727986,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.9,1,1,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1.0,1.0,1.0263783317290138,same_trace_parameter_sensitivity
check-5,check-period-us,5,W2,0.85,1,1,0.055,0.055,0.055,0.9336734693877551,0.9658536585365853,0.7773377337733774,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,0.9647705026664593,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.85,1,1,0.03,0.03,0.03,1.0,1.0,0.8650090056637757,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.9,1,1,0.024999999999999994,0.024999999999999994,0.024999999999999994,1.0,1.0,0.8885783516447042,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
